CustomerID,FirstTransactionMonth,FirstTransactionDate
12414.0,2011-02-01,2011-02-02
12415.0,2011-01-01,2011-01-06
12417.0,2010-12-01,2010-12-17
12418.0,2011-08-01,2011-08-19
12420.0,2011-10-01,2011-10-07
12421.0,2011-01-01,2011-01-24
12422.0,2011-01-01,2011-01-19
12423.0,2010-12-01,2010-12-21
12424.0,2011-06-01,2011-06-30
12425.0,2011-09-01,2011-09-22
12426.0,2011-05-01,2011-05-29
12427.0,2010-12-01,2010-12-03
12428.0,2011-03-01,2011-03-01
12429.0,2010-12-01,2010-12-09
12430.0,2011-10-01,2011-10-27
12431.0,2010-12-01,2010-12-01
12432.0,2011-06-01,2011-06-20
12433.0,2010-12-01,2010-12-01
12434.0,2011-03-01,2011-03-24
12435.0,2011-03-01,2011-03-17
12436.0,2011-09-01,2011-09-01
12437.0,2011-01-01,2011-01-12
12438.0,2011-07-01,2011-07-22
12441.0,2010-12-01,2010-12-08
12442.0,2011-12-01,2011-12-06
12444.0,2011-06-01,2011-06-21
12445.0,2011-11-01,2011-11-17
12446.0,2011-10-01,2011-10-13
12447.0,2011-04-01,2011-04-10
12448.0,2011-10-01,2011-10-26
12449.0,2011-06-01,2011-06-05
12450.0,2011-06-01,2011-06-19
12451.0,2011-01-01,2011-01-19
12452.0,2011-11-01,2011-11-23
12453.0,2011-07-01,2011-07-28
12454.0,2011-10-01,2011-10-14
12455.0,2011-02-01,2011-02-16
12456.0,2011-03-01,2011-03-30
12457.0,2011-04-01,2011-04-14
12458.0,2011-02-01,2011-02-28
12461.0,2011-07-01,2011-07-08
12462.0,2011-02-01,2011-02-09
12463.0,2011-04-01,2011-04-12
12464.0,2011-02-01,2011-02-03
12465.0,2011-06-01,2011-06-23
12468.0,2011-01-01,2011-01-27
12471.0,2010-12-01,2010-12-10
12472.0,2010-12-01,2010-12-05
12473.0,2011-06-01,2011-06-01
12474.0,2011-01-01,2011-01-14
12475.0,2011-10-01,2011-10-17
12476.0,2010-12-01,2010-12-13
12477.0,2011-02-01,2011-02-11
12478.0,2011-12-01,2011-12-06
12479.0,2011-11-01,2011-11-28
12480.0,2011-01-01,2011-01-07
12481.0,2010-12-01,2010-12-09
12483.0,2011-01-01,2011-01-04
12484.0,2011-01-01,2011-01-07
12488.0,2011-09-01,2011-09-25
12489.0,2011-01-01,2011-01-07
12490.0,2011-01-01,2011-01-14
12491.0,2011-11-01,2011-11-01
12492.0,2011-08-01,2011-08-26
12493.0,2011-05-01,2011-05-26
12494.0,2010-12-01,2010-12-09
12497.0,2011-09-01,2011-09-19
12498.0,2011-10-01,2011-10-13
12500.0,2011-01-01,2011-01-10
12501.0,2011-01-01,2011-01-07
12502.0,2011-02-01,2011-02-03
12504.0,2011-11-01,2011-11-09
12506.0,2011-04-01,2011-04-21
12507.0,2011-02-01,2011-02-14
12508.0,2011-11-01,2011-11-10
12509.0,2011-02-01,2011-02-28
12510.0,2011-01-01,2011-01-18
12512.0,2011-10-01,2011-10-04
12513.0,2011-08-01,2011-08-19
12514.0,2011-03-01,2011-03-17
12515.0,2010-12-01,2010-12-21
12516.0,2011-06-01,2011-06-12
12517.0,2011-06-01,2011-06-02
12518.0,2011-08-01,2011-08-21
12519.0,2011-10-01,2011-10-07
12520.0,2011-03-01,2011-03-11
12521.0,2011-07-01,2011-07-20
12522.0,2011-10-01,2011-10-19
12523.0,2011-01-01,2011-01-12
12524.0,2011-01-01,2011-01-10
12526.0,2011-09-01,2011-09-06
12527.0,2011-01-01,2011-01-18
12528.0,2011-01-01,2011-01-31
12530.0,2011-01-01,2011-01-07
12531.0,2011-11-01,2011-11-25
12532.0,2011-11-01,2011-11-09
12534.0,2011-08-01,2011-08-01
12535.0,2011-06-01,2011-06-06
12536.0,2011-10-01,2011-10-11
12538.0,2011-11-01,2011-11-10
12539.0,2011-01-01,2011-01-10
12540.0,2010-12-01,2010-12-13
12541.0,2011-03-01,2011-03-04
12544.0,2011-11-01,2011-11-03
12545.0,2011-03-01,2011-03-25
12546.0,2011-09-01,2011-09-23
12547.0,2011-03-01,2011-03-04
12548.0,2011-06-01,2011-06-26
12550.0,2011-09-01,2011-09-21
12551.0,2010-12-01,2010-12-17
12552.0,2011-10-01,2011-10-31
12553.0,2011-01-01,2011-01-14
12556.0,2011-07-01,2011-07-11
12557.0,2010-12-01,2010-12-03
12558.0,2011-12-01,2011-12-02
12559.0,2011-01-01,2011-01-24
12560.0,2011-07-01,2011-07-19
12561.0,2011-02-01,2011-02-10
12562.0,2011-05-01,2011-05-25
12564.0,2011-03-01,2011-03-23
12565.0,2011-02-01,2011-02-24
12566.0,2011-09-01,2011-09-14
12567.0,2010-12-01,2010-12-05
12569.0,2011-04-01,2011-04-01
12571.0,2011-08-01,2011-08-10
12572.0,2011-10-01,2011-10-19
12573.0,2011-04-01,2011-04-26
12574.0,2011-01-01,2011-01-28
12576.0,2011-02-01,2011-02-08
12577.0,2010-12-01,2010-12-15
12578.0,2011-01-01,2011-01-13
12579.0,2011-09-01,2011-09-22
12580.0,2011-04-01,2011-04-07
12581.0,2011-10-01,2011-10-31
12582.0,2011-02-01,2011-02-24
12583.0,2010-12-01,2010-12-01
12584.0,2011-03-01,2011-03-04
12585.0,2010-12-01,2010-12-23
12586.0,2011-11-01,2011-11-22
12587.0,2011-12-01,2011-12-02
12588.0,2011-10-01,2011-10-31
12589.0,2011-07-01,2011-07-18
12590.0,2011-05-01,2011-05-12
12591.0,2011-01-01,2011-01-26
12592.0,2011-05-01,2011-05-10
12593.0,2011-05-01,2011-05-05
12594.0,2011-01-01,2011-01-21
12596.0,2011-04-01,2011-04-11
12597.0,2011-03-01,2011-03-16
12598.0,2011-02-01,2011-02-28
12599.0,2011-02-01,2011-02-08
12600.0,2010-12-01,2010-12-03
12601.0,2011-01-01,2011-01-11
12602.0,2011-10-01,2011-10-12
12603.0,2011-11-01,2011-11-18
12604.0,2011-03-01,2011-03-23
12607.0,2011-10-01,2011-10-10
12609.0,2011-01-01,2011-01-25
12610.0,2011-08-01,2011-08-05
12611.0,2011-10-01,2011-10-18
12612.0,2011-09-01,2011-09-26
12613.0,2011-03-01,2011-03-22
12614.0,2011-03-01,2011-03-07
12615.0,2011-06-01,2011-06-24
12616.0,2011-02-01,2011-02-15
12617.0,2011-11-01,2011-11-10
12618.0,2011-11-01,2011-11-18
12619.0,2011-03-01,2011-03-31
12620.0,2011-05-01,2011-05-19
12621.0,2010-12-01,2010-12-09
12622.0,2011-04-01,2011-04-21
12623.0,2011-03-01,2011-03-08
12624.0,2011-06-01,2011-06-15
12625.0,2011-01-01,2011-01-24
12626.0,2011-01-01,2011-01-17
12627.0,2011-07-01,2011-07-22
12628.0,2011-10-01,2011-10-06
12630.0,2011-10-01,2011-10-27
12631.0,2011-10-01,2011-10-13
12633.0,2011-02-01,2011-02-25
12635.0,2011-07-01,2011-07-08
12637.0,2011-01-01,2011-01-20
12638.0,2011-11-01,2011-11-06
12639.0,2011-04-01,2011-04-15
12640.0,2011-09-01,2011-09-19
12641.0,2011-08-01,2011-08-16
12642.0,2011-08-01,2011-08-24
12643.0,2011-01-01,2011-01-11
12644.0,2011-08-01,2011-08-02
12645.0,2011-01-01,2011-01-27
12646.0,2011-10-01,2011-10-21
12647.0,2010-12-01,2010-12-05
12648.0,2011-07-01,2011-07-08
12649.0,2011-05-01,2011-05-11
12650.0,2011-12-01,2011-12-06
12651.0,2011-01-01,2011-01-09
12652.0,2011-01-01,2011-01-12
12653.0,2011-02-01,2011-02-16
12654.0,2011-02-01,2011-02-17
12656.0,2011-04-01,2011-04-20
12657.0,2011-09-01,2011-09-22
12658.0,2011-11-01,2011-11-21
12659.0,2011-11-01,2011-11-10
12660.0,2011-11-01,2011-11-28
12662.0,2010-12-01,2010-12-01
12664.0,2011-01-01,2011-01-21
12665.0,2011-01-01,2011-01-19
12667.0,2011-10-01,2011-10-12
12668.0,2010-12-01,2010-12-19
12669.0,2011-03-01,2011-03-28
12670.0,2011-04-01,2011-04-21
12672.0,2011-01-01,2011-01-14
12673.0,2011-01-01,2011-01-17
12674.0,2011-05-01,2011-05-16
12676.0,2011-02-01,2011-02-01
12678.0,2010-12-01,2010-12-21
12679.0,2011-03-01,2011-03-01
12680.0,2011-08-01,2011-08-18
12681.0,2010-12-01,2010-12-07
12682.0,2010-12-01,2010-12-03
12683.0,2010-12-01,2010-12-09
12684.0,2011-05-01,2011-05-10
12685.0,2011-09-01,2011-09-07
12686.0,2010-12-01,2010-12-03
12688.0,2011-08-01,2011-08-18
12689.0,2011-08-01,2011-08-04
12690.0,2011-05-01,2011-05-18
12691.0,2010-12-01,2010-12-17
12693.0,2011-01-01,2011-01-24
12694.0,2011-06-01,2011-06-09
12695.0,2011-05-01,2011-05-13
12697.0,2011-06-01,2011-06-23
12700.0,2011-05-01,2011-05-08
12701.0,2011-04-01,2011-04-11
12702.0,2011-11-01,2011-11-20
12703.0,2011-09-01,2011-09-29
12704.0,2011-06-01,2011-06-23
12705.0,2010-12-01,2010-12-17
12707.0,2011-02-01,2011-02-21
12708.0,2010-12-01,2010-12-06
12709.0,2010-12-01,2010-12-08
12710.0,2011-05-01,2011-05-22
12712.0,2010-12-01,2010-12-03
12713.0,2011-12-01,2011-12-09
12714.0,2011-02-01,2011-02-18
12715.0,2011-08-01,2011-08-25
12716.0,2011-07-01,2011-07-29
12717.0,2011-04-01,2011-04-08
12718.0,2011-09-01,2011-09-29
12719.0,2011-10-01,2011-10-05
12720.0,2010-12-01,2010-12-05
12721.0,2010-12-01,2010-12-20
12722.0,2011-07-01,2011-07-12
12723.0,2011-10-01,2011-10-05
12724.0,2011-01-01,2011-01-11
12725.0,2010-12-01,2010-12-03
12726.0,2010-12-01,2010-12-17
12727.0,2011-01-01,2011-01-23
12728.0,2011-01-01,2011-01-11
12729.0,2011-08-01,2011-08-18
12731.0,2010-12-01,2010-12-10
12732.0,2011-06-01,2011-06-13
12733.0,2011-04-01,2011-04-19
12734.0,2010-12-01,2010-12-22
12735.0,2011-01-01,2011-01-06
12736.0,2011-01-01,2011-01-11
12738.0,2010-12-01,2010-12-02
12739.0,2011-09-01,2011-09-01
12740.0,2011-10-01,2011-10-07
12743.0,2011-07-01,2011-07-28
12744.0,2011-01-01,2011-01-25
12747.0,2010-12-01,2010-12-05
12748.0,2010-12-01,2010-12-01
12749.0,2011-05-01,2011-05-10
12750.0,2011-08-01,2011-08-03
12752.0,2011-09-01,2011-09-19
12753.0,2010-12-01,2010-12-12
12754.0,2011-02-01,2011-02-04
12755.0,2010-12-01,2010-12-09
12756.0,2011-09-01,2011-09-14
12757.0,2011-05-01,2011-05-12
12758.0,2011-03-01,2011-03-08
12759.0,2011-03-01,2011-03-09
12762.0,2011-11-01,2011-11-14
12763.0,2010-12-01,2010-12-05
12764.0,2011-01-01,2011-01-27
12766.0,2010-12-01,2010-12-08
12769.0,2011-04-01,2011-04-15
12770.0,2011-05-01,2011-05-13
12772.0,2011-10-01,2011-10-11
12775.0,2011-02-01,2011-02-01
12778.0,2011-01-01,2011-01-31
12779.0,2010-12-01,2010-12-03
12781.0,2011-02-01,2011-02-28
12782.0,2010-12-01,2010-12-17
12783.0,2011-09-01,2011-09-25
12784.0,2011-11-01,2011-11-24
12785.0,2010-12-01,2010-12-10
12787.0,2011-05-01,2011-05-31
12789.0,2011-10-01,2011-10-05
12790.0,2011-05-01,2011-05-31
12791.0,2010-12-01,2010-12-01
12792.0,2011-03-01,2011-03-28
12793.0,2010-12-01,2010-12-03
12794.0,2011-09-01,2011-09-02
12795.0,2011-11-01,2011-11-21
12797.0,2010-12-01,2010-12-09
12798.0,2011-06-01,2011-06-22
12802.0,2011-06-01,2011-06-06
12808.0,2010-12-01,2010-12-06
12809.0,2011-06-01,2011-06-15
12811.0,2011-02-01,2011-02-28
12812.0,2011-10-01,2011-10-26
12814.0,2011-08-01,2011-08-30
12815.0,2011-05-01,2011-05-25
12816.0,2011-06-01,2011-06-16
12817.0,2011-03-01,2011-03-03
12818.0,2011-03-01,2011-03-23
12820.0,2011-01-01,2011-01-17
12821.0,2011-05-01,2011-05-09
12822.0,2011-09-01,2011-09-13
12823.0,2011-02-01,2011-02-16
12824.0,2011-10-01,2011-10-11
12826.0,2010-12-01,2010-12-09
12827.0,2011-10-01,2011-10-26
12828.0,2011-08-01,2011-08-01
12829.0,2010-12-01,2010-12-14
12830.0,2011-06-01,2011-06-21
12831.0,2011-03-01,2011-03-22
12832.0,2011-09-01,2011-09-02
12833.0,2011-07-01,2011-07-17
12834.0,2011-03-01,2011-03-02
12836.0,2011-02-01,2011-02-01
12837.0,2011-06-01,2011-06-19
12838.0,2010-12-01,2010-12-01
12839.0,2010-12-01,2010-12-07
12840.0,2011-04-01,2011-04-27
12841.0,2010-12-01,2010-12-03
12842.0,2011-02-01,2011-02-04
12843.0,2011-03-01,2011-03-20
12844.0,2011-08-01,2011-08-01
12845.0,2011-02-01,2011-02-22
12847.0,2011-11-01,2011-11-17
12849.0,2011-03-01,2011-03-16
12851.0,2011-09-01,2011-09-04
12852.0,2011-02-01,2011-02-18
12853.0,2011-01-01,2011-01-28
12854.0,2011-01-01,2011-01-25
12855.0,2010-12-01,2010-12-02
12856.0,2011-10-01,2011-10-07
12857.0,2011-02-01,2011-02-10
12863.0,2011-10-01,2011-10-18
12864.0,2011-07-01,2011-07-24
12865.0,2011-08-01,2011-08-08
12866.0,2011-03-01,2011-03-01
12867.0,2010-12-01,2010-12-14
12868.0,2010-12-01,2010-12-01
12871.0,2011-05-01,2011-05-16
12872.0,2010-12-01,2010-12-09
12873.0,2011-03-01,2011-03-02
12875.0,2010-12-01,2010-12-12
12876.0,2011-05-01,2011-05-27
12877.0,2010-12-01,2010-12-16
12878.0,2011-03-01,2011-03-18
12879.0,2011-09-01,2011-09-09
12881.0,2011-03-01,2011-03-09
12882.0,2011-11-01,2011-11-06
12883.0,2011-09-01,2011-09-11
12884.0,2011-09-01,2011-09-12
12885.0,2011-08-01,2011-08-08
12886.0,2011-05-01,2011-05-04
12888.0,2011-03-01,2011-03-29
12890.0,2011-11-01,2011-11-15
12891.0,2011-02-01,2011-02-20
12893.0,2011-11-01,2011-11-09
12895.0,2011-09-01,2011-09-14
12897.0,2011-02-01,2011-02-11
12901.0,2011-03-01,2011-03-14
12902.0,2011-03-01,2011-03-20
12904.0,2011-06-01,2011-06-20
12906.0,2011-09-01,2011-09-22
12908.0,2011-01-01,2011-01-31
12909.0,2011-03-01,2011-03-31
12910.0,2011-04-01,2011-04-12
12912.0,2011-10-01,2011-10-30
12913.0,2010-12-01,2010-12-06
12915.0,2010-12-01,2010-12-02
12916.0,2011-01-01,2011-01-23
12917.0,2011-08-01,2011-08-03
12919.0,2011-06-01,2011-06-23
12920.0,2011-11-01,2011-11-22
12921.0,2010-12-01,2010-12-01
12922.0,2011-07-01,2011-07-01
12923.0,2011-10-01,2011-10-06
12924.0,2011-01-01,2011-01-16
12925.0,2011-09-01,2011-09-26
12928.0,2010-12-01,2010-12-15
12929.0,2011-02-01,2011-02-01
12930.0,2011-06-01,2011-06-21
12931.0,2010-12-01,2010-12-17
12933.0,2011-03-01,2011-03-01
12935.0,2011-01-01,2011-01-24
12936.0,2011-09-01,2011-09-22
12937.0,2011-03-01,2011-03-17
12938.0,2011-11-01,2011-11-14
12939.0,2011-01-01,2011-01-09
12940.0,2011-09-01,2011-09-13
12942.0,2010-12-01,2010-12-09
12944.0,2010-12-01,2010-12-20
12945.0,2011-02-01,2011-02-24
12947.0,2010-12-01,2010-12-01
12948.0,2011-03-01,2011-03-20
12949.0,2011-04-01,2011-04-01
12950.0,2011-11-01,2011-11-15
12951.0,2011-01-01,2011-01-13
12952.0,2011-09-01,2011-09-22
12953.0,2011-11-01,2011-11-30
12955.0,2011-03-01,2011-03-17
12956.0,2011-02-01,2011-02-06
12957.0,2011-01-01,2011-01-04
12962.0,2011-08-01,2011-08-18
12963.0,2010-12-01,2010-12-09
12965.0,2011-09-01,2011-09-11
12966.0,2011-11-01,2011-11-30
12967.0,2010-12-01,2010-12-03
12968.0,2011-08-01,2011-08-19
12970.0,2011-01-01,2011-01-21
12971.0,2010-12-01,2010-12-02
12974.0,2011-05-01,2011-05-26
12976.0,2011-05-01,2011-05-12
12977.0,2011-07-01,2011-07-06
12980.0,2010-12-01,2010-12-16
12981.0,2011-07-01,2011-07-29
12982.0,2011-04-01,2011-04-11
12984.0,2011-11-01,2011-11-21
12985.0,2011-11-01,2011-11-11
12987.0,2011-05-01,2011-05-26
12988.0,2011-02-01,2011-02-20
12989.0,2010-12-01,2010-12-10
12990.0,2011-02-01,2011-02-02
12991.0,2011-08-01,2011-08-19
12993.0,2011-02-01,2011-02-14
12994.0,2011-03-01,2011-03-16
12995.0,2011-09-01,2011-09-15
12997.0,2011-01-01,2011-01-26
12999.0,2011-04-01,2011-04-08
13000.0,2010-12-01,2010-12-10
13001.0,2011-01-01,2011-01-17
13002.0,2011-01-01,2011-01-25
13003.0,2011-05-01,2011-05-09
13004.0,2010-12-01,2010-12-17
13005.0,2011-04-01,2011-04-07
13006.0,2011-10-01,2011-10-14
13008.0,2011-01-01,2011-01-20
13011.0,2010-12-01,2010-12-02
13012.0,2011-02-01,2011-02-18
13013.0,2010-12-01,2010-12-03
13014.0,2011-03-01,2011-03-03
13015.0,2011-04-01,2011-04-04
13016.0,2011-08-01,2011-08-08
13017.0,2011-12-01,2011-12-02
13018.0,2011-02-01,2011-02-17
13021.0,2010-12-01,2010-12-16
13023.0,2011-08-01,2011-08-02
13026.0,2011-03-01,2011-03-09
13027.0,2010-12-01,2010-12-20
13028.0,2011-10-01,2011-10-25
13029.0,2010-12-01,2010-12-21
13030.0,2010-12-01,2010-12-06
13032.0,2011-09-01,2011-09-13
13033.0,2010-12-01,2010-12-17
13034.0,2010-12-01,2010-12-05
13035.0,2011-03-01,2011-03-24
13037.0,2011-03-01,2011-03-28
13038.0,2011-02-01,2011-02-22
13040.0,2011-11-01,2011-11-06
13043.0,2011-03-01,2011-03-11
13044.0,2011-02-01,2011-02-21
13045.0,2011-09-01,2011-09-01
13046.0,2011-03-01,2011-03-18
13047.0,2010-12-01,2010-12-01
13048.0,2011-01-01,2011-01-16
13049.0,2011-01-01,2011-01-25
13050.0,2010-12-01,2010-12-08
13052.0,2011-05-01,2011-05-11
13055.0,2011-05-01,2011-05-10
13058.0,2011-07-01,2011-07-11
13059.0,2011-04-01,2011-04-04
13060.0,2011-03-01,2011-03-31
13061.0,2011-09-01,2011-09-28
13062.0,2011-06-01,2011-06-01
13064.0,2011-01-01,2011-01-16
13065.0,2010-12-01,2010-12-01
13066.0,2011-11-01,2011-11-07
13067.0,2011-09-01,2011-09-18
13068.0,2011-01-01,2011-01-24
13069.0,2010-12-01,2010-12-05
13070.0,2011-05-01,2011-05-31
13072.0,2011-03-01,2011-03-18
13075.0,2011-08-01,2011-08-02
13077.0,2010-12-01,2010-12-08
13078.0,2010-12-01,2010-12-08
13079.0,2011-07-01,2011-07-22
13080.0,2011-06-01,2011-06-13
13081.0,2010-12-01,2010-12-03
13082.0,2011-01-01,2011-01-05
13083.0,2011-09-01,2011-09-25
13085.0,2011-02-01,2011-02-17
13089.0,2010-12-01,2010-12-05
13090.0,2010-12-01,2010-12-02
13091.0,2011-11-01,2011-11-11
13092.0,2010-12-01,2010-12-15
13093.0,2010-12-01,2010-12-01
13094.0,2010-12-01,2010-12-06
13095.0,2011-09-01,2011-09-30
13097.0,2010-12-01,2010-12-14
13098.0,2011-01-01,2011-01-26
13099.0,2011-09-01,2011-09-01
13101.0,2011-04-01,2011-04-19
13102.0,2010-12-01,2010-12-09
13103.0,2011-10-01,2011-10-31
13104.0,2010-12-01,2010-12-20
13106.0,2011-07-01,2011-07-29
13107.0,2011-01-01,2011-01-10
13108.0,2010-12-01,2010-12-02
13109.0,2011-07-01,2011-07-05
13110.0,2011-02-01,2011-02-01
13113.0,2010-12-01,2010-12-08
13115.0,2011-06-01,2011-06-08
13116.0,2011-07-01,2011-07-24
13117.0,2010-12-01,2010-12-02
13118.0,2011-02-01,2011-02-24
13120.0,2011-04-01,2011-04-15
13121.0,2011-03-01,2011-03-15
13122.0,2011-04-01,2011-04-13
13124.0,2010-12-01,2010-12-15
13126.0,2010-12-01,2010-12-08
13127.0,2011-09-01,2011-09-23
13130.0,2011-09-01,2011-09-06
13131.0,2011-06-01,2011-06-05
13132.0,2011-03-01,2011-03-23
13133.0,2011-02-01,2011-02-08
13134.0,2011-04-01,2011-04-13
13135.0,2011-05-01,2011-05-27
13136.0,2011-05-01,2011-05-11
13137.0,2011-02-01,2011-02-04
13138.0,2010-12-01,2010-12-02
13139.0,2011-03-01,2011-03-25
13140.0,2010-12-01,2010-12-08
13141.0,2011-01-01,2011-01-28
13142.0,2011-11-01,2011-11-20
13144.0,2011-01-01,2011-01-11
13145.0,2010-12-01,2010-12-02
13146.0,2011-11-01,2011-11-13
13147.0,2011-09-01,2011-09-01
13148.0,2010-12-01,2010-12-10
13149.0,2011-02-01,2011-02-23
13151.0,2011-02-01,2011-02-17
13153.0,2011-12-01,2011-12-04
13155.0,2010-12-01,2010-12-06
13157.0,2011-02-01,2011-02-14
13158.0,2011-01-01,2011-01-25
13159.0,2011-08-01,2011-08-16
13160.0,2011-11-01,2011-11-17
13161.0,2011-01-01,2011-01-30
13162.0,2011-01-01,2011-01-09
13165.0,2010-12-01,2010-12-23
13166.0,2011-03-01,2011-03-01
13167.0,2011-07-01,2011-07-19
13168.0,2011-01-01,2011-01-25
13169.0,2011-04-01,2011-04-01
13170.0,2011-11-01,2011-11-13
13171.0,2011-02-01,2011-02-13
13173.0,2010-12-01,2010-12-07
13174.0,2010-12-01,2010-12-05
13176.0,2011-10-01,2011-10-24
13177.0,2011-10-01,2011-10-06
13178.0,2010-12-01,2010-12-14
13182.0,2011-10-01,2011-10-25
13183.0,2011-01-01,2011-01-09
13184.0,2011-02-01,2011-02-22
13185.0,2011-03-01,2011-03-17
13186.0,2011-08-01,2011-08-03
13187.0,2011-01-01,2011-01-06
13188.0,2011-11-01,2011-11-28
13189.0,2011-08-01,2011-08-16
13192.0,2011-05-01,2011-05-18
13193.0,2011-10-01,2011-10-09
13194.0,2011-07-01,2011-07-27
13196.0,2011-03-01,2011-03-22
13198.0,2010-12-01,2010-12-13
13199.0,2010-12-01,2010-12-08
13200.0,2011-08-01,2011-08-05
13203.0,2011-04-01,2011-04-11
13207.0,2011-07-01,2011-07-12
13208.0,2011-02-01,2011-02-03
13209.0,2010-12-01,2010-12-13
13210.0,2011-09-01,2011-09-07
13211.0,2010-12-01,2010-12-13
13212.0,2011-10-01,2011-10-09
13213.0,2011-05-01,2011-05-24
13216.0,2011-03-01,2011-03-17
13217.0,2011-07-01,2011-07-06
13218.0,2011-08-01,2011-08-04
13220.0,2011-04-01,2011-04-17
13221.0,2010-12-01,2010-12-15
13223.0,2011-04-01,2011-04-21
13224.0,2011-07-01,2011-07-11
13225.0,2010-12-01,2010-12-13
13226.0,2011-03-01,2011-03-11
13227.0,2011-05-01,2011-05-22
13228.0,2011-09-01,2011-09-19
13229.0,2011-04-01,2011-04-28
13230.0,2010-12-01,2010-12-09
13232.0,2011-04-01,2011-04-10
13233.0,2011-01-01,2011-01-07
13235.0,2011-05-01,2011-05-11
13236.0,2011-08-01,2011-08-25
13238.0,2010-12-01,2010-12-14
13239.0,2011-03-01,2011-03-23
13240.0,2010-12-01,2010-12-09
13242.0,2011-05-01,2011-05-10
13243.0,2011-05-01,2011-05-20
13244.0,2011-09-01,2011-09-08
13245.0,2011-10-01,2011-10-20
13246.0,2011-01-01,2011-01-13
13247.0,2011-09-01,2011-09-18
13248.0,2011-06-01,2011-06-03
13249.0,2011-03-01,2011-03-23
13253.0,2011-01-01,2011-01-04
13255.0,2010-12-01,2010-12-01
13256.0,2011-11-01,2011-11-25
13258.0,2011-05-01,2011-05-18
13259.0,2011-10-01,2011-10-09
13260.0,2011-10-01,2011-10-09
13261.0,2011-02-01,2011-02-27
13262.0,2011-03-01,2011-03-21
13263.0,2011-01-01,2011-01-18
13265.0,2011-03-01,2011-03-11
13266.0,2011-03-01,2011-03-28
13267.0,2010-12-01,2010-12-08
13268.0,2011-03-01,2011-03-17
13269.0,2010-12-01,2010-12-05
13270.0,2010-12-01,2010-12-08
13271.0,2011-11-01,2011-11-02
13272.0,2011-09-01,2011-09-11
13273.0,2011-08-01,2011-08-18
13276.0,2011-09-01,2011-09-01
13277.0,2011-07-01,2011-07-29
13278.0,2011-10-01,2011-10-30
13279.0,2011-09-01,2011-09-22
13280.0,2011-01-01,2011-01-06
13282.0,2011-05-01,2011-05-03
13283.0,2011-06-01,2011-06-07
13284.0,2011-01-01,2011-01-13
13285.0,2011-02-01,2011-02-22
13291.0,2011-07-01,2011-07-07
13292.0,2011-02-01,2011-02-28
13294.0,2011-04-01,2011-04-04
13295.0,2010-12-01,2010-12-15
13296.0,2011-07-01,2011-07-25
13297.0,2011-10-01,2011-10-03
13298.0,2011-12-01,2011-12-08
13299.0,2011-03-01,2011-03-16
13300.0,2011-06-01,2011-06-23
13301.0,2011-02-01,2011-02-20
13302.0,2011-07-01,2011-07-07
13304.0,2010-12-01,2010-12-23
13305.0,2010-12-01,2010-12-02
13307.0,2011-08-01,2011-08-11
13308.0,2011-05-01,2011-05-20
13309.0,2011-02-01,2011-02-04
13310.0,2011-01-01,2011-01-19
13311.0,2011-07-01,2011-07-12
13313.0,2011-01-01,2011-01-04
13314.0,2011-09-01,2011-09-27
13316.0,2011-03-01,2011-03-30
13317.0,2010-12-01,2010-12-16
13318.0,2011-11-01,2011-11-02
13319.0,2010-12-01,2010-12-09
