,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,Date
1978,C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,2010-12-01 14:33:00,9.95,12472.0,Germany,-19.9,2010-12-01
1979,C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2010-12-01 14:33:00,1.65,12472.0,Germany,-1.65,2010-12-01
1980,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472.0,Germany,-1.7,2010-12-01
1981,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-12-01 14:33:00,1.65,12472.0,Germany,-9.899999999999999,2010-12-01
1982,C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,2010-12-01 14:33:00,1.95,12472.0,Germany,-1.95,2010-12-01
1983,C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2010-12-01 14:33:00,8.5,12472.0,Germany,-17.0,2010-12-01
1984,C536548,21218,RED SPOTTY BISCUIT TIN,-3,2010-12-01 14:33:00,3.75,12472.0,Germany,-11.25,2010-12-01
1985,C536548,20957,PORCELAIN HANGING BELL SMALL,-1,2010-12-01 14:33:00,1.45,12472.0,Germany,-1.45,2010-12-01
1986,C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,2010-12-01 14:33:00,5.95,12472.0,Germany,-23.8,2010-12-01
3170,C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2010-12-02 09:10:00,2.95,14092.0,United Kingdom,-5.9,2010-12-02
3338,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2010-12-02 10:37:00,8.5,12471.0,Germany,-17.0,2010-12-02
3410,C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2010-12-02 10:46:00,14.95,14766.0,United Kingdom,-29.9,2010-12-02
3693,C536642,21463,MIRRORED DISCO BALL ,-1,2010-12-02 11:56:00,5.95,14390.0,United Kingdom,-5.95,2010-12-02
3911,C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2010-12-02 12:50:00,4.25,16042.0,United Kingdom,-17.0,2010-12-02
3912,C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,2010-12-02 12:50:00,7.95,16042.0,United Kingdom,-7.95,2010-12-02
3919,C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2010-12-02 13:05:00,2.95,15922.0,United Kingdom,-5.9,2010-12-02
4287,C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-12-02 14:23:00,0.03,15838.0,United Kingdom,-280.8,2010-12-02
4288,C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2010-12-02 14:25:00,2.1,13767.0,United Kingdom,-2.1,2010-12-02
4306,C536760,22175,PINK OWL SOFT TOY,-1,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,-2.95,2010-12-02
4307,C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,-8.850000000000001,2010-12-02
4836,C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-12-02 16:45:00,9.95,15834.0,United Kingdom,-19.9,2010-12-02
4837,C536807,22778,GLASS CLOCHE SMALL,-1,2010-12-02 16:45:00,3.95,15834.0,United Kingdom,-3.95,2010-12-02
4853,C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02 16:58:00,0.85,16546.0,United Kingdom,-30.599999999999998,2010-12-02
4854,C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,-138.24,2010-12-02
4855,C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02
4856,C536812,22595,CHRISTMAS GINGHAM HEART,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02
4857,C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-12-02 16:58:00,2.1,16546.0,United Kingdom,-403.20000000000005,2010-12-02
4858,C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02
4876,C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-02 17:03:00,7.95,13958.0,United Kingdom,-15.9,2010-12-02
4877,C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-12-02 17:03:00,2.95,13958.0,United Kingdom,-17.700000000000003,2010-12-02
4878,C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,-25.5,2010-12-02
4879,C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-12-02 17:03:00,2.55,13958.0,United Kingdom,-30.599999999999998,2010-12-02
4880,C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,-12.75,2010-12-02
4881,C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-12-02 17:05:00,0.42,14443.0,United Kingdom,-0.42,2010-12-02
4882,C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-12-02 17:05:00,1.25,14443.0,United Kingdom,-1.25,2010-12-02
4883,C536816,21129,SILVER FISHING GNOME ,-2,2010-12-02 17:06:00,6.95,14443.0,United Kingdom,-13.9,2010-12-02
4884,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02 17:08:00,4.25,14156.0,EIRE,-4.25,2010-12-02
4885,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:08:00,3.25,14156.0,EIRE,-3.25,2010-12-02
4886,C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-12-02 17:09:00,1.25,16995.0,United Kingdom,-1.25,2010-12-02
4904,C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,-1.95,2010-12-02
4905,C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,-1.95,2010-12-02
4906,C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-12-02 17:14:00,2.1,18168.0,United Kingdom,-2.1,2010-12-02
4907,C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-12-02 17:14:00,10.95,18168.0,United Kingdom,-10.95,2010-12-02
4931,C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-12-02 17:19:00,16.95,14625.0,United Kingdom,-33.9,2010-12-02
4932,C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-12-02 17:19:00,3.75,14625.0,United Kingdom,-3.75,2010-12-02
4937,C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-12-02 17:27:00,4.95,15384.0,United Kingdom,-4.95,2010-12-02
4938,C536825,22197,SMALL POPCORN HOLDER,-2,2010-12-02 17:27:00,0.85,15384.0,United Kingdom,-1.7,2010-12-02
4939,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,-9.3,2010-12-02
4940,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,-13.950000000000001,2010-12-02
4941,C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2010-12-02 17:31:00,6.95,13408.0,United Kingdom,-20.85,2010-12-02
4942,C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-12-02 17:35:00,10.75,14264.0,United Kingdom,-10.75,2010-12-02
4943,C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2010-12-02 17:35:00,1.25,14264.0,United Kingdom,-3.75,2010-12-02
4944,C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:36:00,3.25,13295.0,United Kingdom,-3.25,2010-12-02
5232,C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03 09:47:00,7.65,14213.0,United Kingdom,-367.20000000000005,2010-12-03
5233,C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03 09:47:00,6.75,14213.0,United Kingdom,-337.5,2010-12-03
5234,C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,-127.49999999999999,2010-12-03
5235,C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03 09:47:00,4.95,14213.0,United Kingdom,-237.60000000000002,2010-12-03
5236,C536850,22186,RED STAR CARD HOLDER,-48,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,-122.39999999999999,2010-12-03
5259,C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-12-03 10:07:00,2.55,14679.0,United Kingdom,-2.55,2010-12-03
5260,C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-12-03 10:09:00,2.95,15240.0,United Kingdom,-2.95,2010-12-03
5261,C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,-1.25,2010-12-03
5262,C536854,21871,SAVE THE PLANET MUG,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,-1.25,2010-12-03
5263,C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2010-12-03 10:11:00,7.95,18225.0,United Kingdom,-31.8,2010-12-03
6391,536941,22734,amazon,20,2010-12-03 12:08:00,0.0,nan,United Kingdom,0.0,2010-12-03
6392,536942,22139,amazon,15,2010-12-03 12:08:00,0.0,nan,United Kingdom,0.0,2010-12-03
6781,C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-03 14:19:00,9.95,17954.0,United Kingdom,-9.95,2010-12-03
6782,C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03 14:23:00,3.75,17841.0,United Kingdom,-3.75,2010-12-03
6783,C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03 14:23:00,1.95,17841.0,United Kingdom,-1.95,2010-12-03
7278,C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-12-03 16:21:00,2.1,13941.0,United Kingdom,-75.60000000000001,2010-12-03
7313,537032,21275,?,-30,2010-12-03 16:50:00,0.0,nan,United Kingdom,-0.0,2010-12-03
7437,C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-12-05 10:25:00,4.95,15708.0,United Kingdom,-4.95,2010-12-05
7438,C537039,20936,FORKED CACTUS CANDLE,-1,2010-12-05 10:25:00,2.95,15708.0,United Kingdom,-2.95,2010-12-05
7439,C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-12-05 10:25:00,0.42,15708.0,United Kingdom,-0.42,2010-12-05
7520,C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-12-05 10:48:00,1.95,15351.0,United Kingdom,-11.7,2010-12-05
7521,C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-12-05 10:48:00,1.69,15351.0,United Kingdom,-1.69,2010-12-05
8316,C537132,22788,BROCANTE COAT RACK,-2,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,-17.0,2010-12-05
8317,C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,-8.5,2010-12-05
8318,C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-12-05 12:29:00,2.95,15221.0,United Kingdom,-5.9,2010-12-05
8319,C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,-43.9,2010-12-05
8320,C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,-175.6,2010-12-05
8321,C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-12-05 12:29:00,12.75,15221.0,United Kingdom,-38.25,2010-12-05
8685,C537143,20685,DOORMAT RED RETROSPOT,-1,2010-12-05 12:58:00,7.95,12748.0,United Kingdom,-7.95,2010-12-05
8952,C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-12-05 13:09:00,1.25,15880.0,United Kingdom,-30.0,2010-12-05
9038,C537164,D,Discount,-1,2010-12-05 13:21:00,29.29,14527.0,United Kingdom,-29.29,2010-12-05
9302,537197,22841,ROUND CAKE TIN VINTAGE GREEN,1,2010-12-05 14:02:00,0.0,12647.0,Germany,0.0,2010-12-05
9493,C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-05 14:44:00,9.95,14606.0,United Kingdom,-9.95,2010-12-05
9494,C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2010-12-05 14:44:00,2.95,14606.0,United Kingdom,-2.95,2010-12-05
10194,C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-12-06 09:31:00,8.5,12586.0,Italy,-17.0,2010-12-06
10204,C537234,22653,BUTTON BOX ,-20,2010-12-06 09:40:00,1.95,16161.0,United Kingdom,-39.0,2010-12-06
11502,C537251,22429,ENAMEL MEASURING JUG CREAM,-2,2010-12-06 10:45:00,4.25,nan,United Kingdom,-8.5,2010-12-06
11503,C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2010-12-06 10:45:00,1.25,nan,United Kingdom,-10.0,2010-12-06
11504,C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2010-12-06 10:45:00,2.95,nan,United Kingdom,-5.9,2010-12-06
11505,C537251,22564,ALPHABET STENCIL CRAFT,-5,2010-12-06 10:45:00,1.25,nan,United Kingdom,-6.25,2010-12-06
11506,C537251,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,2010-12-06 10:45:00,1.25,nan,United Kingdom,-3.75,2010-12-06
11507,C537251,22747,POPPY'S PLAYHOUSE BATHROOM,-6,2010-12-06 10:45:00,2.1,nan,United Kingdom,-12.600000000000001,2010-12-06
11508,C537251,22454,MEASURING TAPE BABUSHKA RED,-8,2010-12-06 10:45:00,2.95,nan,United Kingdom,-23.6,2010-12-06
11509,C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,2010-12-06 10:45:00,2.95,nan,United Kingdom,-11.8,2010-12-06
11510,C537251,21915,RED  HARMONICA IN BOX ,-4,2010-12-06 10:45:00,1.25,nan,United Kingdom,-5.0,2010-12-06
11511,C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,2010-12-06 10:45:00,2.55,nan,United Kingdom,-22.95,2010-12-06
11512,C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,2010-12-06 10:45:00,2.1,nan,United Kingdom,-8.4,2010-12-06
11513,C537251,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,2010-12-06 10:45:00,4.95,nan,United Kingdom,-29.700000000000003,2010-12-06
11514,C537251,22418,10 COLOUR SPACEBOY PEN,-7,2010-12-06 10:45:00,0.85,nan,United Kingdom,-5.95,2010-12-06
11515,C537251,22911,PAPER CHAIN KIT LONDON,-2,2010-12-06 10:45:00,2.95,nan,United Kingdom,-5.9,2010-12-06
11516,C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,2010-12-06 10:45:00,4.25,nan,United Kingdom,-21.25,2010-12-06
11517,C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,2010-12-06 10:45:00,2.1,nan,United Kingdom,-16.8,2010-12-06
11518,C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2010-12-06 10:45:00,2.95,nan,United Kingdom,-5.9,2010-12-06
11519,C537251,22536,MAGIC DRAWING SLATE PURDEY,-11,2010-12-06 10:45:00,0.42,nan,United Kingdom,-4.62,2010-12-06
11520,C537251,21826,EIGHT PIECE DINOSAUR SET,-4,2010-12-06 10:45:00,1.25,nan,United Kingdom,-5.0,2010-12-06
11521,C537251,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,2010-12-06 10:45:00,1.95,nan,United Kingdom,-5.85,2010-12-06
11799,C537314,21349,IVY HEART WREATH,-4,2010-12-06 11:42:00,6.75,13497.0,United Kingdom,-27.0,2010-12-06
11800,C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,2010-12-06 11:47:00,8.95,14867.0,United Kingdom,-8.95,2010-12-06
11813,C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2010-12-06 12:00:00,8.5,12474.0,Germany,-34.0,2010-12-06
12402,C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-06 12:55:00,12.75,14487.0,United Kingdom,-12.75,2010-12-06
12455,C537379,22865,HAND WARMER OWL DESIGN,-10,2010-12-06 13:12:00,2.1,15882.0,United Kingdom,-21.0,2010-12-06
12538,C537383,21658,GLASS  BEURRE DISH,-1,2010-12-06 13:17:00,3.95,16550.0,United Kingdom,-3.95,2010-12-06
12539,C537383,22197,SMALL POPCORN HOLDER,-1,2010-12-06 13:17:00,0.85,16550.0,United Kingdom,-0.85,2010-12-06
12540,C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2010-12-06 13:17:00,4.25,16550.0,United Kingdom,-4.25,2010-12-06
12823,C537398,22430,ENAMEL WATERING CAN CREAM,-1,2010-12-06 14:22:00,4.95,15426.0,United Kingdom,-4.95,2010-12-06
12946,C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,-23.8,2010-12-06
12947,C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,-23.8,2010-12-06
12948,C537402,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,-59.8,2010-12-06
12949,C537402,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,-59.8,2010-12-06
12950,C537402,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:43:00,2.55,15502.0,United Kingdom,-15.299999999999999,2010-12-06
12951,C537402,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:43:00,0.85,15502.0,United Kingdom,-10.2,2010-12-06
13009,C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,-23.8,2010-12-06
13010,C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,-23.8,2010-12-06
13011,C537406,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,-59.8,2010-12-06
13012,C537406,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,-59.8,2010-12-06
13019,C537408,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:55:00,2.55,15502.0,United Kingdom,-15.299999999999999,2010-12-06
13020,C537408,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:55:00,0.85,15502.0,United Kingdom,-10.2,2010-12-06
13042,C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2010-12-06 15:07:00,2.1,14409.0,United Kingdom,-151.20000000000002,2010-12-06
13052,C537414,POST,POSTAGE,-1,2010-12-06 15:09:00,4.41,16861.0,United Kingdom,-4.41,2010-12-06
13053,C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,2010-12-06 15:09:00,2.95,16861.0,United Kingdom,-17.700000000000003,2010-12-06
13054,C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,2010-12-06 15:10:00,7.95,16138.0,United Kingdom,-7.95,2010-12-06
13055,C537417,22960,JAM MAKING SET WITH JARS,-1,2010-12-06 15:12:00,4.25,13481.0,United Kingdom,-4.25,2010-12-06
13217,537425,84968F,check,-20,2010-12-06 15:35:00,0.0,nan,United Kingdom,-0.0,2010-12-06
13218,537426,84968E,check,-35,2010-12-06 15:36:00,0.0,nan,United Kingdom,-0.0,2010-12-06
13264,537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,nan,United Kingdom,-0.0,2010-12-06
13265,C537431,21755,LOVE BUILDING BLOCK WORD,-1,2010-12-06 16:10:00,5.95,16782.0,United Kingdom,-5.95,2010-12-06
14022,C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,2010-12-07 08:42:00,5.95,14850.0,United Kingdom,-47.6,2010-12-07
14023,C537445,22418,10 COLOUR SPACEBOY PEN,-11,2010-12-07 08:57:00,0.85,15021.0,United Kingdom,-9.35,2010-12-07
14332,C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-07 11:47:00,7.95,13319.0,United Kingdom,-7.95,2010-12-07
14333,C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2010-12-07 11:47:00,6.35,13319.0,United Kingdom,-12.7,2010-12-07
14334,C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,2010-12-07 11:47:00,3.75,13319.0,United Kingdom,-7.5,2010-12-07
14335,537534,85064,CREAM SWEETHEART LETTER RACK,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14336,537534,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14337,537534,84692,BOX OF 24 COCKTAIL PARASOLS,2,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14338,537534,48184,DOORMAT ENGLISH ROSE ,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14339,537534,48111,DOORMAT 3 SMILEY CATS,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14340,537534,22697,GREEN REGENCY TEACUP AND SAUCER,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14341,537534,22682,FRENCH BLUE METAL DOOR SIGN 7,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14342,537534,22680,FRENCH BLUE METAL DOOR SIGN 5,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14343,537534,22681,FRENCH BLUE METAL DOOR SIGN 6,2,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14344,537534,22679,FRENCH BLUE METAL DOOR SIGN 4,5,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14345,537534,22686,FRENCH BLUE METAL DOOR SIGN No,2,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14346,537534,22683,FRENCH BLUE METAL DOOR SIGN 8,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14347,537534,22676,FRENCH BLUE METAL DOOR SIGN 1,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14348,537534,22625,RED KITCHEN SCALES,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14349,537534,22624,IVORY KITCHEN SCALES,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14350,537534,22619,SET OF 6 SOLDIER SKITTLES,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14351,537534,22520,CHILDS GARDEN TROWEL BLUE ,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14352,537534,22524,CHILDRENS GARDEN GLOVES BLUE,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14353,537534,22502,PICNIC BASKET WICKER SMALL,29,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14354,537534,22501,PICNIC BASKET WICKER LARGE,2,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14355,537534,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14356,537534,22473,TV DINNER TRAY VINTAGE PAISLEY,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14357,537534,22474,SPACEBOY TV DINNER TRAY,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14358,537534,22472,TV DINNER TRAY DOLLY GIRL,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14359,537534,22520,CHILDS GARDEN TROWEL BLUE ,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14360,537534,22514,CHILDS GARDEN SPADE BLUE,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14361,537534,22516,CHILDS GARDEN RAKE BLUE,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14362,537534,22432,WATERING CAN PINK BUNNY,1,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
14363,537534,22428,ENAMEL FIRE BUCKET CREAM,3,2010-12-07 11:48:00,0.0,nan,United Kingdom,0.0,2010-12-07
