,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
5732,536874,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2010-12-03 11:35,2.95,16891.0,United Kingdom
5743,536874,22961,JAM MAKING SET PRINTED,1,2010-12-03 11:35,1.45,16891.0,United Kingdom
6435,536945,22956,36 FOIL HEART CAKE CASES,1,2010-12-03 12:24,2.1,14083.0,United Kingdom
6448,536945,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,1,2010-12-03 12:24,1.25,14083.0,United Kingdom
6470,536945,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2010-12-03 12:24,2.1,14083.0,United Kingdom
6473,536945,21830,ASSORTED CREEPY CRAWLIES,24,2010-12-03 12:24,0.42,14083.0,United Kingdom
6812,536981,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2010-12-03 14:26,3.75,14723.0,United Kingdom
7493,537042,21579,LOLITA  DESIGN  COTTON TOTE BAG,1,2010-12-05 10:45,2.25,13838.0,United Kingdom
7495,537042,21579,LOLITA  DESIGN  COTTON TOTE BAG,1,2010-12-05 10:45,2.25,13838.0,United Kingdom
7519,537042,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-05 10:45,2.95,13838.0,United Kingdom
7553,537045,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,1,2010-12-05 10:54,4.25,15038.0,United Kingdom
7570,537045,22296,HEART IVORY TRELLIS LARGE,1,2010-12-05 10:54,1.65,15038.0,United Kingdom
7571,537045,22295,HEART FILIGREE DOVE LARGE,1,2010-12-05 10:54,1.65,15038.0,United Kingdom
7716,537051,22727,ALARM CLOCK BAKELIKE RED ,2,2010-12-05 11:12,3.75,15708.0,United Kingdom
7718,537051,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-12-05 11:12,3.75,15708.0,United Kingdom
7725,537051,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-12-05 11:12,3.75,15708.0,United Kingdom
7726,537051,85174,S/4 CACTI CANDLES,1,2010-12-05 11:12,4.95,15708.0,United Kingdom
7735,537051,85175,CACTI T-LIGHT CANDLES,32,2010-12-05 11:12,0.42,15708.0,United Kingdom
7870,537059,84508B,STRIPES DESIGN TEDDY,1,2010-12-05 11:54,2.55,14813.0,United Kingdom
8035,537111,22637,PIGGY BANK RETROSPOT ,1,2010-12-05 12:08,2.55,14810.0,United Kingdom
8155,537126,22569,FELTCRAFT CUSHION BUTTERFLY,1,2010-12-05 12:13,3.75,18118.0,United Kingdom
8251,537131,22810,SET OF 6 T-LIGHTS SNOWMEN,6,2010-12-05 12:26,2.95,15716.0,United Kingdom
8292,537133,21154,RED RETROSPOT OVEN GLOVE ,1,2010-12-05 12:29,1.25,18156.0,United Kingdom
8310,537133,21625,VINTAGE UNION JACK APRON,1,2010-12-05 12:29,6.95,18156.0,United Kingdom
8312,537133,21042,RED RETROSPOT APRON ,1,2010-12-05 12:29,5.95,18156.0,United Kingdom
8313,537133,22480,RED TEA TOWEL CLASSIC DESIGN,1,2010-12-05 12:29,1.25,18156.0,United Kingdom
8314,537133,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-05 12:29,3.95,18156.0,United Kingdom
8473,537136,85049A,TRADITIONAL CHRISTMAS RIBBONS,2,2010-12-05 12:42,1.25,12748.0,United Kingdom
8477,537136,21090,SET/6 COLLAGE PAPER PLATES,2,2010-12-05 12:42,0.85,12748.0,United Kingdom
8481,537136,22694,WICKER STAR ,1,2010-12-05 12:42,2.1,12748.0,United Kingdom
8617,537140,84827,ASS DES PHONE SPONGE CRAFT STICKER,1,2010-12-05 12:53,0.65,12748.0,United Kingdom
8624,537140,22632,HAND WARMER RED RETROSPOT,1,2010-12-05 12:53,2.1,12748.0,United Kingdom
8625,537140,22633,HAND WARMER UNION JACK,1,2010-12-05 12:53,2.1,12748.0,United Kingdom
8728,537144,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-05 13:00,2.95,15880.0,United Kingdom
8742,537144,22294,HEART FILIGREE DOVE  SMALL,1,2010-12-05 13:00,1.25,15880.0,United Kingdom
8758,537144,21882,SKULLS TAPE,1,2010-12-05 13:00,0.65,15880.0,United Kingdom
8765,537144,21882,SKULLS TAPE,1,2010-12-05 13:00,0.65,15880.0,United Kingdom
8766,537144,22553,PLASTERS IN TIN SKULLS,1,2010-12-05 13:00,1.65,15880.0,United Kingdom
8767,537144,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-05 13:00,1.65,15880.0,United Kingdom
8771,537144,22100,SKULLS SQUARE TISSUE BOX,1,2010-12-05 13:00,1.25,15880.0,United Kingdom
8772,537144,22095,LADS ONLY TISSUE BOX,1,2010-12-05 13:00,1.25,15880.0,United Kingdom
8781,537144,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-05 13:00,2.95,15880.0,United Kingdom
8832,537153,21696,SMALL SILVER TRELLIS CANDLEPOT,6,2010-12-05 13:03,2.95,16718.0,United Kingdom
8856,537154,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-05 13:05,2.95,15808.0,United Kingdom
8858,537154,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-05 13:05,2.55,15808.0,United Kingdom
8861,537154,22727,ALARM CLOCK BAKELIKE RED ,1,2010-12-05 13:05,3.75,15808.0,United Kingdom
8863,537154,22727,ALARM CLOCK BAKELIKE RED ,1,2010-12-05 13:05,3.75,15808.0,United Kingdom
8888,537154,22747,POPPY'S PLAYHOUSE BATHROOM,1,2010-12-05 13:05,2.1,15808.0,United Kingdom
8889,537154,22746,POPPY'S PLAYHOUSE LIVINGROOM ,1,2010-12-05 13:05,2.1,15808.0,United Kingdom
8890,537154,22748,POPPY'S PLAYHOUSE KITCHEN,1,2010-12-05 13:05,2.1,15808.0,United Kingdom
8892,537154,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2010-12-05 13:05,2.1,15808.0,United Kingdom
8899,537154,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-05 13:05,1.95,15808.0,United Kingdom
8915,537155,21785,RAIN PONCHO ,1,2010-12-05 13:05,0.85,12748.0,United Kingdom
8917,537155,21786,POLKADOT RAIN HAT ,1,2010-12-05 13:05,0.42,12748.0,United Kingdom
8918,537155,84827,ASS DES PHONE SPONGE CRAFT STICKER,1,2010-12-05 13:05,0.65,12748.0,United Kingdom
8950,537156,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6,2010-12-05 13:08,1.25,17858.0,United Kingdom
8951,537156,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2010-12-05 13:08,1.25,17858.0,United Kingdom
9051,537176,22312,OFFICE MUG WARMER POLKADOT,1,2010-12-05 13:26,2.95,16411.0,United Kingdom
9108,537192,21107,CREAM SLICE FLANNEL PINK SPOT ,1,2010-12-05 13:42,2.95,16402.0,United Kingdom
9113,537192,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-05 13:42,1.25,16402.0,United Kingdom
9125,537192,22386,JUMBO BAG PINK POLKADOT,1,2010-12-05 13:42,1.95,16402.0,United Kingdom
9132,537193,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,1,2010-12-05 13:49,9.95,15023.0,United Kingdom
9144,537193,22862,LOVE HEART NAPKIN BOX ,4,2010-12-05 13:49,4.25,15023.0,United Kingdom
9161,537193,22891,TEA FOR ONE POLKADOT,1,2010-12-05 13:49,4.25,15023.0,United Kingdom
9184,537195,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2010-12-05 13:55,1.25,15311.0,United Kingdom
9226,537196,21811,CHRISTMAS HANGING HEART WITH BELL,1,2010-12-05 13:55,1.25,15426.0,United Kingdom
9227,537196,22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,1,2010-12-05 13:55,2.55,15426.0,United Kingdom
9230,537196,21811,CHRISTMAS HANGING HEART WITH BELL,1,2010-12-05 13:55,1.25,15426.0,United Kingdom
9234,537196,85129D,BEADED CRYSTAL HEART PINK SMALL,1,2010-12-05 13:55,1.25,15426.0,United Kingdom
9241,537196,47567B,TEA TIME KITCHEN APRON,1,2010-12-05 13:55,5.95,15426.0,United Kingdom
9247,537196,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,1,2010-12-05 13:55,0.85,15426.0,United Kingdom
9255,537196,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2010-12-05 13:55,4.95,15426.0,United Kingdom
9258,537196,22570,FELTCRAFT CUSHION RABBIT,1,2010-12-05 13:55,3.75,15426.0,United Kingdom
9268,537196,21903,MAN FLU METAL SIGN,1,2010-12-05 13:55,2.1,15426.0,United Kingdom
9286,537196,22430,ENAMEL WATERING CAN CREAM,1,2010-12-05 13:55,4.95,15426.0,United Kingdom
9323,537199,84991,60 TEATIME FAIRY CAKE CASES,1,2010-12-05 14:06,0.55,15894.0,United Kingdom
9328,537199,22156,HEART DECORATION WITH PEARLS ,1,2010-12-05 14:06,0.85,15894.0,United Kingdom
9331,537199,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-05 14:06,0.95,15894.0,United Kingdom
9341,537199,82616B,FRAPPUCINO SCARF KNITTING KIT,1,2010-12-05 14:06,2.95,15894.0,United Kingdom
9354,537200,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2010-12-05 14:17,1.25,15867.0,United Kingdom
9463,537202,22147,FELTCRAFT BUTTERFLY HEARTS,1,2010-12-05 14:25,1.45,14506.0,United Kingdom
9472,537202,22274,FELTCRAFT DOLL EMILY,1,2010-12-05 14:25,2.95,14506.0,United Kingdom
9476,537202,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2010-12-05 14:25,3.75,14506.0,United Kingdom
9484,537202,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,2010-12-05 14:25,1.65,14506.0,United Kingdom
9489,537202,22147,FELTCRAFT BUTTERFLY HEARTS,2,2010-12-05 14:25,1.45,14506.0,United Kingdom
9567,537208,90082B,DIAMANTE BOW BROOCH RED COLOUR,1,2010-12-05 15:12,6.35,15889.0,United Kingdom
9594,537208,20978,36 PENCILS TUBE SKULLS,2,2010-12-05 15:12,1.25,15889.0,United Kingdom
9615,537208,21098,CHRISTMAS TOILET ROLL,1,2010-12-05 15:12,1.25,15889.0,United Kingdom
9624,537208,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-05 15:12,2.1,15889.0,United Kingdom
9625,537208,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-05 15:12,0.95,15889.0,United Kingdom
9627,537208,90082D,DIAMANTE BOW BROOCH BLACK COLOUR,1,2010-12-05 15:12,6.35,15889.0,United Kingdom
9628,537208,90082B,DIAMANTE BOW BROOCH RED COLOUR,1,2010-12-05 15:12,6.35,15889.0,United Kingdom
9687,537210,22633,HAND WARMER UNION JACK,1,2010-12-05 15:15,2.1,15953.0,United Kingdom
9897,537222,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2010-12-05 16:00,4.25,14404.0,United Kingdom
9914,537224,70007,HI TEC ALPINE HAND WARMER,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
9926,537224,70006,LOVE HEART POCKET WARMER,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
9931,537224,21202,DOLLY HONEYCOMB GARLAND,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
9937,537224,70007,HI TEC ALPINE HAND WARMER,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
9938,537224,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-05 16:24,2.95,13174.0,United Kingdom
9949,537224,70007,HI TEC ALPINE HAND WARMER,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
9968,537224,70007,HI TEC ALPINE HAND WARMER,1,2010-12-05 16:24,1.65,13174.0,United Kingdom
10001,537224,21187,WHITE BELL HONEYCOMB PAPER GARLAND ,2,2010-12-05 16:24,1.65,13174.0,United Kingdom
10027,537224,21901,"KEY FOB , BACK DOOR ",1,2010-12-05 16:24,0.65,13174.0,United Kingdom
10031,537224,22863,SOAP DISH BROCANTE,1,2010-12-05 16:24,2.95,13174.0,United Kingdom
10034,537224,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-05 16:24,2.1,13174.0,United Kingdom
10036,537224,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-05 16:24,2.95,13174.0,United Kingdom
10037,537224,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2,2010-12-05 16:24,2.55,13174.0,United Kingdom
10058,537224,21802,CHRISTMAS TREE HEART DECORATION,3,2010-12-05 16:24,0.42,13174.0,United Kingdom
10063,537224,21822,GLITTER CHRISTMAS TREE WITH BELLS,6,2010-12-05 16:24,1.95,13174.0,United Kingdom
10072,537224,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2010-12-05 16:24,2.1,13174.0,United Kingdom
10076,537224,84531B,BLUE KNITTED EGG COSY,1,2010-12-05 16:24,1.95,13174.0,United Kingdom
10094,537225,20757,RED DAISY POCKET BOOK ,6,2010-12-05 16:41,0.85,12748.0,United Kingdom
11596,537254,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,2010-12-06 11:01,0.85,15898.0,United Kingdom
11605,537254,22149,FELTCRAFT 6 FLOWER FRIENDS,2,2010-12-06 11:01,2.1,15898.0,United Kingdom
11673,537262,22680,FRENCH BLUE METAL DOOR SIGN 5,2,2010-12-06 11:26,1.25,15039.0,United Kingdom
11687,537262,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-06 11:26,2.95,15039.0,United Kingdom
11720,537265,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2010-12-06 11:26,8.5,15919.0,United Kingdom
11743,537265,21175,GIN + TONIC DIET METAL SIGN,1,2010-12-06 11:26,2.1,15919.0,United Kingdom
11745,537265,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-12-06 11:26,0.42,15919.0,United Kingdom
11746,537265,22960,JAM MAKING SET WITH JARS,1,2010-12-06 11:26,4.25,15919.0,United Kingdom
11747,537265,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2010-12-06 11:26,2.95,15919.0,United Kingdom
11751,537265,79000,MOROCCAN TEA GLASS,12,2010-12-06 11:26,0.85,15919.0,United Kingdom
11752,537265,79000,MOROCCAN TEA GLASS,12,2010-12-06 11:26,0.85,15919.0,United Kingdom
11754,537265,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2010-12-06 11:26,1.45,15919.0,United Kingdom
11755,537265,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2010-12-06 11:26,1.45,15919.0,United Kingdom
11759,537265,21499,BLUE POLKADOT WRAP,25,2010-12-06 11:26,0.42,15919.0,United Kingdom
11952,537351,21383,PACK OF 12 STICKY BUNNIES,2,2010-12-06 12:23,0.65,16898.0,United Kingdom
11954,537351,21226,POCKET MIRROR WOODLAND,1,2010-12-06 12:23,1.25,16898.0,United Kingdom
11958,537351,21172,PARTY METAL SIGN ,1,2010-12-06 12:23,1.45,16898.0,United Kingdom
12051,537362,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2010-12-06 12:34,1.65,17596.0,United Kingdom
12130,537369,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,1,2010-12-06 12:41,2.1,17860.0,United Kingdom
12135,537369,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,2010-12-06 12:41,2.95,17860.0,United Kingdom
12156,537369,20752,BLUE POLKADOT WASHING UP GLOVES,1,2010-12-06 12:41,2.1,17860.0,United Kingdom
12165,537369,21588,RETROSPOT GIANT TUBE MATCHES,1,2010-12-06 12:41,2.55,17860.0,United Kingdom
12169,537369,47471,RAINBOW PEGS PHOTO CLIP STRING,1,2010-12-06 12:41,0.65,17860.0,United Kingdom
12174,537369,22095,LADS ONLY TISSUE BOX,1,2010-12-06 12:41,1.25,17860.0,United Kingdom
12310,537374,79051A,SMOKEY GREY COLOUR D.O.F. GLASS,4,2010-12-06 12:55,0.65,17259.0,United Kingdom
12323,537374,22974,CHILDRENS DOLLY GIRL MUG,1,2010-12-06 12:55,1.65,17259.0,United Kingdom
12327,537374,21738,COSY SLIPPER SHOES SMALL  RED ,1,2010-12-06 12:55,2.95,17259.0,United Kingdom
12338,537374,22549,PICTURE DOMINOES,1,2010-12-06 12:55,1.45,17259.0,United Kingdom
12352,537374,22816,CARD MOTORBIKE SANTA,12,2010-12-06 12:55,0.42,17259.0,United Kingdom
12517,537382,22754,SMALL RED BABUSHKA NOTEBOOK ,1,2010-12-06 13:13,0.85,16710.0,United Kingdom
