,,TotalAmount,TotalAmount,TotalAmount,Date,Date
12397.0,Belgium,2409.8999999999996,1195.09,1214.81,2011-07-27,2011-11-04
12398.0,Switzerland,1635.66,1635.66,1635.66,2011-10-25,2011-10-25
12399.0,Belgium,1108.65,130.08,480.9,2011-03-23,2011-08-12
12401.0,Belgium,84.3,84.3,84.3,2011-02-09,2011-02-09
12402.0,Belgium,225.6,225.6,225.6,2011-01-20,2011-01-20
12403.0,Denmark,427.7,427.7,427.7,2011-10-21,2011-10-21
12405.0,Finland,1710.39,1710.39,1710.39,2011-07-14,2011-07-14
12406.0,Denmark,3415.3,1621.25,1794.05,2011-06-09,2011-11-17
12407.0,Belgium,1708.12,192.34,719.06,2011-03-20,2011-10-21
12408.0,Belgium,2888.55,642.28,837.59,2011-03-24,2011-11-07
12409.0,Switzerland,11072.67,4.95,6207.08,2011-06-10,2011-09-22
12410.0,Switzerland,693.3299999999999,693.3299999999999,693.3299999999999,2011-02-04,2011-02-04
12412.0,Denmark,1226.88,336.14,514.5,2011-06-23,2011-09-26
12413.0,France,758.1,84.65,479.25,2011-01-06,2011-10-04
12414.0,Austria,562.41,153.76,242.8,2011-02-02,2011-05-06
12415.0,Australia,124914.53,81.6,23426.81,2011-01-06,2011-11-15
12417.0,Belgium,3212.8,291.34,562.69,2010-12-17,2011-12-06
12417.0,Spain,436.3,436.3,436.3,2011-04-28,2011-04-28
12418.0,Switzerland,668.58,668.58,668.58,2011-08-19,2011-08-19
12420.0,Cyprus,600.39,600.39,600.39,2011-10-07,2011-10-07
12421.0,Spain,807.04,157.45,239.35,2011-01-24,2011-11-24
12422.0,Australia,386.2,147.7,238.5,2011-01-19,2011-09-05
12422.0,Switzerland,417.36,417.36,417.36,2011-06-24,2011-06-24
12423.0,Belgium,1859.31,84.92,347.35,2010-12-21,2011-12-09
12424.0,Australia,1760.96,1760.96,1760.96,2011-06-30,2011-06-30
12425.0,Portugal,777.2,777.2,777.2,2011-09-22,2011-09-22
12426.0,Germany,582.73,582.73,582.73,2011-05-29,2011-05-29
12427.0,Germany,825.8,239.72,303.5,2010-12-03,2011-11-18
12428.0,Finland,7956.46,373.72,4969.22,2011-03-01,2011-11-14
12429.0,Austria,437.98,437.98,437.98,2011-04-26,2011-04-26
12429.0,Denmark,3312.42,905.52,1281.5,2010-12-09,2011-11-30
12430.0,Norway,256.4,256.4,256.4,2011-10-27,2011-10-27
12431.0,Australia,5514.67,118.8,678.76,2010-12-01,2011-11-04
12431.0,Belgium,972.78,332.68,640.1,2011-02-17,2011-10-10
12432.0,Norway,5059.320000000001,700.0,3316.6600000000003,2011-06-20,2011-10-28
12433.0,Norway,13375.87,1498.66,2843.29,2010-12-01,2011-12-09
12434.0,Australia,806.14,286.25,519.89,2011-03-24,2011-09-16
12435.0,Denmark,7829.889999999999,3850.9,3978.99,2011-03-17,2011-09-21
12436.0,Norway,509.01,509.01,509.01,2011-09-01,2011-09-01
12437.0,France,4951.41,147.70999999999998,997.03,2011-01-12,2011-12-08
12438.0,Norway,2906.85,890.0699999999999,2016.78,2011-07-22,2011-11-25
12441.0,France,173.55,173.55,173.55,2010-12-08,2010-12-08
12442.0,Spain,172.06,172.06,172.06,2011-12-06,2011-12-06
12444.0,Norway,5005.46,562.54,1870.2,2011-06-21,2011-11-18
12445.0,Spain,133.4,133.4,133.4,2011-11-17,2011-11-17
12446.0,RSA,1002.31,1002.31,1002.31,2011-10-13,2011-10-13
12447.0,Belgium,476.49,476.49,476.49,2011-04-10,2011-04-10
12448.0,Spain,449.45,449.45,449.45,2011-10-26,2011-10-26
12449.0,Belgium,4067.29,777.95,1342.71,2011-06-05,2011-11-17
12450.0,Spain,197.88,96.0,101.88,2011-06-19,2011-07-06
12451.0,Switzerland,9035.52,262.5,2919.51,2011-01-19,2011-11-29
12452.0,Switzerland,430.57,430.57,430.57,2011-11-23,2011-11-23
12453.0,Austria,707.09,707.09,707.09,2011-07-28,2011-07-28
12454.0,Spain,3528.34,3528.34,3528.34,2011-10-14,2011-10-14
12455.0,Cyprus,1698.9,15.0,1683.9,2011-02-16,2011-02-17
12455.0,Spain,767.96,78.56,290.5,2011-06-03,2011-09-27
12456.0,Switzerland,3181.04,915.64,1325.23,2011-03-30,2011-10-26
12457.0,Cyprus,392.7,196.35,196.35,2011-09-19,2011-10-04
12457.0,Switzerland,1970.53,160.0,743.28,2011-04-14,2011-09-15
12458.0,Switzerland,947.4000000000001,441.92,505.48,2011-02-28,2011-09-29
12461.0,Switzerland,826.88,200.0,626.88,2011-07-08,2011-09-06
12462.0,Spain,1189.5900000000001,427.48,762.11,2011-02-09,2011-11-21
12463.0,Belgium,1344.78,297.38,358.99,2011-04-12,2011-10-17
12464.0,Belgium,1212.05,45.6,281.9,2011-02-03,2011-11-29
12465.0,Belgium,742.19,301.25,440.94,2011-06-23,2011-11-22
12468.0,Germany,729.5400000000001,220.59,508.9500000000001,2011-01-27,2011-06-05
12471.0,Germany,19824.05,30.0,2385.38,2010-12-10,2011-12-07
12472.0,Germany,6572.110000000001,268.08,1631.3,2010-12-05,2011-11-07
12473.0,Germany,3938.55,514.06,1697.98,2011-06-01,2011-11-10
12474.0,Germany,7375.79,7.800000000000001,806.47,2011-01-14,2011-11-22
12475.0,Germany,723.38,723.38,723.38,2011-10-17,2011-10-17
12476.0,Germany,6816.42,12.45,1750.46,2010-12-13,2011-11-24
12477.0,Germany,13219.740000000002,1059.24,4257.06,2011-02-11,2011-11-17
12478.0,Greece,680.99,680.99,680.99,2011-12-06,2011-12-06
12479.0,Germany,527.2,527.2,527.2,2011-11-28,2011-11-28
12480.0,Germany,3281.63,557.6800000000001,1136.6799999999998,2011-01-07,2011-11-11
12481.0,Germany,5596.32,159.38,1307.76,2010-12-09,2011-11-17
12483.0,Sweden,2484.98,8.5,547.56,2011-01-04,2011-11-22
12484.0,Spain,4541.72,140.0,1246.49,2011-01-07,2011-11-07
12488.0,France,1298.66,214.06,553.39,2011-09-25,2011-11-30
12489.0,France,334.93,334.93,334.93,2011-01-07,2011-01-07
12490.0,France,5417.93,331.5,1035.82,2011-01-14,2011-12-04
12491.0,France,460.4,460.4,460.4,2011-11-01,2011-11-01
12492.0,Germany,263.21,126.39,136.82,2011-08-26,2011-10-07
12493.0,France,433.74,201.24,232.5,2011-05-26,2011-06-27
12494.0,France,1246.1,4.949999999999999,403.09,2010-12-09,2011-11-24
12497.0,Germany,1043.1,1043.1,1043.1,2011-09-19,2011-09-19
12498.0,Germany,403.7,156.45,247.25,2011-10-13,2011-11-18
12500.0,Germany,4257.82,150.25,1096.65,2011-01-10,2011-11-16
12501.0,Germany,2169.39,2169.39,2169.39,2011-01-07,2011-01-07
12502.0,Spain,3723.87,522.6,1092.35,2011-02-03,2011-09-05
12504.0,Germany,482.04999999999995,32.65,449.4,2011-11-09,2011-11-21
12506.0,France,73.5,73.5,73.5,2011-04-21,2011-04-21
12507.0,Spain,1304.81,46.75,811.9,2011-02-14,2011-07-28
12508.0,France,398.27,123.08,275.19,2011-11-10,2011-11-13
12509.0,France,176.5,176.5,176.5,2011-02-28,2011-02-28
12510.0,Spain,982.5699999999999,301.52,681.05,2011-01-18,2011-07-20
12512.0,Israel,138.03,138.03,138.03,2011-10-04,2011-10-04
12513.0,France,612.29,612.29,612.29,2011-08-19,2011-08-19
12514.0,Italy,1017.68,1017.68,1017.68,2011-03-17,2011-03-17
12515.0,Italy,383.7,383.7,383.7,2010-12-21,2010-12-21
12516.0,Germany,1312.06,583.2,728.86,2011-06-12,2011-09-23
12517.0,Germany,2502.84,417.2,771.75,2011-06-02,2011-11-11
12518.0,Germany,2056.89,324.83,524.9,2011-08-21,2011-12-09
12519.0,Germany,340.84,340.84,340.84,2011-10-07,2011-10-07
12520.0,Germany,2634.26,246.54,987.42,2011-03-11,2011-09-21
12521.0,Germany,599.68,599.68,599.68,2011-07-20,2011-07-20
12522.0,Germany,192.72,89.4,103.32,2011-10-19,2011-10-31
12523.0,France,1789.77,102.95,262.42,2011-01-12,2011-11-20
12524.0,Germany,4485.719999999999,289.1,1094.33,2011-01-10,2011-11-30
12526.0,Germany,1316.6599999999999,277.08,520.3,2011-09-06,2011-12-09
12527.0,Germany,348.71000000000004,63.790000000000006,152.4,2011-01-18,2011-09-19
12528.0,Germany,1933.48,234.0,493.53,2011-01-31,2011-11-30
12530.0,Germany,1662.28,387.4,440.63,2011-01-07,2011-10-11
12531.0,Germany,125.22,125.22,125.22,2011-11-25,2011-11-25
12532.0,France,349.83000000000004,349.83000000000004,349.83000000000004,2011-11-09,2011-11-09
12534.0,Germany,1089.18,1089.18,1089.18,2011-08-01,2011-08-01
12535.0,France,716.3499999999999,344.9,371.45,2011-06-06,2011-09-09
12536.0,France,12601.830000000002,4279.71,8322.12,2011-10-11,2011-10-27
12538.0,Spain,363.95,363.95,363.95,2011-11-10,2011-11-10
12539.0,Spain,5568.35,1050.66,1715.85,2011-01-10,2011-11-17
12540.0,Spain,13400.24,277.48,1380.11,2010-12-13,2011-11-20
12541.0,Spain,981.1800000000001,223.74,445.04,2011-03-04,2011-11-10
12544.0,Spain,372.7,372.7,372.7,2011-11-03,2011-11-03
12545.0,Spain,1000.39,372.24,628.15,2011-03-25,2011-09-25
12546.0,Spain,1161.5,401.3,760.2,2011-09-23,2011-10-24
12547.0,Spain,207.8,48.4,159.4,2011-03-04,2011-05-26
12548.0,Spain,95.2,95.2,95.2,2011-06-26,2011-06-26
12550.0,Spain,964.83,964.83,964.83,2011-09-21,2011-09-21
12551.0,Spain,168.0,168.0,168.0,2010-12-17,2010-12-17
12552.0,Italy,437.82,120.0,317.82,2011-10-31,2011-11-01
12553.0,France,3692.2799999999997,6.3,700.31,2011-01-14,2011-12-01
12556.0,Spain,603.71,290.81,312.9,2011-07-11,2011-10-20
12557.0,Spain,11990.960000000001,620.0,4146.34,2010-12-03,2011-11-23
12558.0,USA,269.96,269.96,269.96,2011-12-02,2011-12-02
12559.0,Germany,561.71,75.60000000000001,486.11,2011-01-24,2011-02-02
12560.0,Germany,2134.01,144.0,1292.31,2011-07-19,2011-12-04
12561.0,Germany,238.85,238.85,238.85,2011-02-10,2011-02-10
12562.0,France,3781.74,388.64,654.37,2011-05-25,2011-12-01
12564.0,France,456.9,456.9,456.9,2011-03-23,2011-03-23
12565.0,Saudi Arabia,145.92,145.92,145.92,2011-02-24,2011-02-24
12566.0,Germany,351.65,351.65,351.65,2011-09-14,2011-09-14
12567.0,France,9401.28,415.46,1650.1,2010-12-05,2011-11-17
12569.0,Germany,4124.69,67.0,447.72,2011-04-01,2011-12-07
12571.0,France,519.61,248.35,271.26,2011-08-10,2011-10-31
12572.0,Germany,1020.4200000000001,487.68,532.74,2011-10-19,2011-12-01
12573.0,France,160.54000000000002,160.54000000000002,160.54000000000002,2011-04-26,2011-04-26
12574.0,France,218.45,218.45,218.45,2011-01-28,2011-01-28
12576.0,Poland,1315.83,154.8,379.28,2011-02-08,2011-11-04
12577.0,France,657.8,195.89,461.91,2010-12-15,2011-11-04
12578.0,Italy,2794.51,1185.85,1608.66,2011-01-13,2011-11-18
12579.0,France,440.42,440.42,440.42,2011-09-22,2011-09-22
12580.0,Germany,415.7,415.7,415.7,2011-04-07,2011-04-07
12581.0,Germany,197.71,197.71,197.71,2011-10-31,2011-10-31
12582.0,Finland,511.36,205.16,306.2,2011-02-24,2011-04-15
12583.0,France,7281.38,243.1,855.86,2010-12-01,2011-12-07
12584.0,Italy,2338.15,12.75,463.63,2011-03-04,2011-12-06
12585.0,Germany,2040.1,777.25,1262.85,2010-12-23,2011-04-19
12586.0,Italy,196.94000000000003,196.94000000000003,196.94000000000003,2011-11-22,2011-11-22
12587.0,Finland,144.0,144.0,144.0,2011-12-02,2011-12-02
12588.0,Finland,214.9,214.9,214.9,2011-10-31,2011-10-31
12589.0,France,646.6800000000001,131.5,515.1800000000001,2011-07-18,2011-11-11
12590.0,Germany,9864.26,9864.26,9864.26,2011-05-12,2011-05-12
12591.0,Italy,452.85,452.85,452.85,2011-01-26,2011-01-26
12592.0,Germany,437.6,205.8,231.8,2011-05-10,2011-09-08
12593.0,France,418.1,85.8,236.0,2011-05-05,2011-08-23
12594.0,Italy,3338.2200000000003,42.96,722.4000000000001,2011-01-21,2011-11-02
12596.0,Spain,618.27,269.95,348.32,2011-04-11,2011-10-19
12597.0,Spain,3811.22,205.96,2176.45,2011-03-16,2011-11-20
12598.0,France,3023.08,163.85,720.86,2011-02-28,2011-11-30
12599.0,France,1032.58,78.6,201.86,2011-02-08,2011-11-10
12600.0,Germany,2599.04,76.5,427.94000000000005,2010-12-03,2011-11-11
12601.0,Germany,577.06,68.1,144.26,2011-01-11,2011-06-03
12602.0,France,153.12,153.12,153.12,2011-10-12,2011-10-12
12603.0,Germany,739.1999999999999,739.1999999999999,739.1999999999999,2011-11-18,2011-11-18
12604.0,France,254.18,75.68,178.5,2011-03-23,2011-09-21
12607.0,USA,1579.51,1579.51,1579.51,2011-10-10,2011-10-10
12609.0,Germany,1126.85,287.93,512.8,2011-01-25,2011-09-22
12610.0,Italy,2099.54,160.0,946.75,2011-08-05,2011-11-17
12611.0,Italy,1193.32,1193.32,1193.32,2011-10-18,2011-10-18
12612.0,Germany,704.0400000000001,704.0400000000001,704.0400000000001,2011-09-26,2011-09-26
12613.0,Germany,3344.38,640.86,1881.86,2011-03-22,2011-10-13
12614.0,Germany,315.6,315.6,315.6,2011-03-07,2011-03-07
12615.0,France,2291.19,422.85,656.95,2011-06-24,2011-12-07
12616.0,France,713.3,255.6,457.7,2011-02-15,2011-09-05
12617.0,France,355.53,355.53,355.53,2011-11-10,2011-11-10
12618.0,Italy,177.31,177.31,177.31,2011-11-18,2011-11-18
12619.0,Germany,3641.2400000000002,199.8,688.0,2011-03-31,2011-11-23
12620.0,France,1339.4099999999999,377.66,561.66,2011-05-19,2011-11-25
12621.0,Germany,13689.67,415.17,1209.8,2010-12-09,2011-12-08
12622.0,Germany,180.1,180.1,180.1,2011-04-21,2011-04-21
12623.0,Germany,305.1,305.1,305.1,2011-03-08,2011-03-08
12624.0,France,641.13,299.94,341.19,2011-06-15,2011-08-25
12625.0,Germany,2683.8199999999997,967.2,1716.62,2011-01-24,2011-05-12
12626.0,Germany,6620.48,178.1,1377.55,2011-01-17,2011-11-16
12627.0,Germany,4478.53,72.0,1183.72,2011-07-22,2011-11-29
12628.0,Germany,786.46,215.25,333.64,2011-10-06,2011-12-05
12630.0,Finland,1270.88,569.09,701.79,2011-10-27,2011-11-30
12631.0,Finland,640.5,640.5,640.5,2011-10-13,2011-10-13
12633.0,Germany,2163.98,215.23,1012.82,2011-02-25,2011-10-12
12635.0,Germany,1689.1799999999998,683.64,1005.54,2011-07-08,2011-09-11
12637.0,France,6021.900000000001,205.87,1516.68,2011-01-20,2011-10-03
12638.0,Sweden,671.69,671.69,671.69,2011-11-06,2011-11-06
12639.0,Sweden,486.1,486.1,486.1,2011-04-15,2011-04-15
12640.0,France,1174.5800000000002,77.76,764.59,2011-09-19,2011-11-16
12641.0,Sweden,185.9,185.9,185.9,2011-08-16,2011-08-16
12642.0,Germany,1013.26,291.96000000000004,366.45,2011-08-24,2011-11-14
12643.0,France,3344.6400000000003,250.50000000000003,1202.22,2011-01-11,2011-08-03
12644.0,Germany,477.91,477.91,477.91,2011-08-02,2011-08-02
12645.0,Germany,1775.18,369.3,511.96,2011-01-27,2011-11-06
12646.0,USA,1346.9699999999998,615.28,731.6899999999999,2011-10-21,2011-12-05
12647.0,Germany,3722.8199999999997,158.85,596.8,2010-12-05,2011-11-17
12648.0,Germany,318.05,318.05,318.05,2011-07-08,2011-07-08
12649.0,Germany,623.51,248.51,375.0,2011-05-11,2011-08-24
12650.0,France,314.44,314.44,314.44,2011-12-06,2011-12-06
12651.0,France,114.0,114.0,114.0,2011-01-09,2011-01-09
12652.0,France,919.98,919.98,919.98,2011-01-12,2011-01-12
12653.0,Israel,2209.85,779.1,1430.75,2011-02-16,2011-07-14
12654.0,Germany,601.98,93.0,171.23000000000002,2011-02-17,2011-11-29
12656.0,France,4051.17,541.2,1161.07,2011-04-20,2011-11-22
12657.0,France,1643.18,42.5,982.24,2011-09-22,2011-11-28
12658.0,Germany,686.05,686.05,686.05,2011-11-21,2011-11-21
12659.0,France,91.68,91.68,91.68,2011-11-10,2011-11-10
12660.0,France,245.1,245.1,245.1,2011-11-28,2011-11-28
12662.0,Germany,3849.78,224.95,521.62,2010-12-01,2011-12-09
12664.0,Finland,4881.88,310.0,890.0,2011-01-21,2011-12-01
12665.0,Germany,63.0,63.0,63.0,2011-01-19,2011-01-19
12667.0,Finland,620.13,620.13,620.13,2011-10-12,2011-10-12
12668.0,Germany,3807.1499999999996,469.87,1444.8,2010-12-19,2011-11-28
12669.0,France,2744.0299999999997,471.43,1136.3,2011-03-28,2011-07-12
12670.0,France,2996.0499999999997,393.34,696.12,2011-04-21,2011-11-29
12672.0,France,225.9,225.9,225.9,2011-01-14,2011-01-14
12673.0,Germany,610.52,220.9,389.62,2011-01-17,2011-12-04
12674.0,France,1970.6,390.06,586.74,2011-05-16,2011-11-01
12676.0,Sweden,1331.39,121.55,509.5,2011-02-01,2011-11-15
12678.0,France,17628.46,134.0,8947.96,2010-12-21,2011-10-28
12679.0,France,1113.02,94.32,794.06,2011-03-01,2011-10-12
12680.0,France,862.81,112.38,311.78,2011-08-18,2011-12-09
12681.0,France,13787.539999999999,343.29,1238.06,2010-12-07,2011-11-25
12682.0,France,12288.22,99.6,835.11,2010-12-03,2011-12-06
12683.0,France,8476.57,296.53,1255.88,2010-12-09,2011-12-05
12684.0,France,2283.63,30.0,489.1,2011-05-10,2011-12-02
12685.0,France,2863.08,222.6,1057.18,2011-09-07,2011-11-11
12686.0,France,89.14,89.14,89.14,2010-12-03,2010-12-03
12688.0,Israel,4873.81,4873.81,4873.81,2011-08-18,2011-08-18
12689.0,France,1247.61,511.03,736.5799999999999,2011-08-04,2011-11-14
12690.0,France,389.01,389.01,389.01,2011-05-18,2011-05-18
12691.0,France,1035.8,36.0,303.1,2010-12-17,2011-11-11
12693.0,Germany,855.91,162.05,239.85,2011-01-24,2011-08-04
12694.0,France,869.6700000000001,430.17,439.5,2011-06-09,2011-09-30
12695.0,France,582.1,85.1,244.65,2011-05-13,2011-12-02
12697.0,Sweden,957.59,223.68,390.5,2011-06-23,2011-11-11
12700.0,France,4939.99,1056.62,1476.19,2011-05-08,2011-12-02
12701.0,Germany,797.71,337.08,460.63,2011-04-11,2011-09-21
12702.0,Germany,219.0,219.0,219.0,2011-11-20,2011-11-20
12703.0,Germany,283.55,283.55,283.55,2011-09-29,2011-09-29
12704.0,Finland,2340.84,198.76,561.28,2011-06-23,2011-12-02
12705.0,Germany,6868.29,255.5,1321.25,2010-12-17,2011-11-24
12707.0,France,603.42,603.42,603.42,2011-02-21,2011-02-21
12708.0,Germany,2712.91,33.0,403.83,2010-12-06,2011-11-10
12709.0,Germany,9736.52,68.0,1225.26,2010-12-08,2011-11-24
12710.0,Germany,1149.02,71.4,718.96,2011-05-22,2011-09-04
12712.0,Germany,4396.13,146.8,776.0500000000001,2010-12-03,2011-11-11
12713.0,Germany,848.55,848.55,848.55,2011-12-09,2011-12-09
12714.0,France,4708.86,513.26,1319.16,2011-02-18,2011-11-30
12715.0,Sweden,353.86,353.86,353.86,2011-08-25,2011-08-25
12716.0,France,1053.49,375.59,677.9,2011-07-29,2011-12-06
12717.0,Greece,1030.98,421.24,609.74,2011-04-08,2011-07-11
12718.0,France,238.25,238.25,238.25,2011-09-29,2011-09-29
12719.0,France,644.95,283.6,361.35,2011-10-05,2011-12-04
12720.0,Germany,5781.73,74.96,498.32,2010-12-05,2011-12-07
12721.0,France,2656.13,286.6,614.3199999999999,2010-12-20,2011-11-08
12722.0,France,997.63,46.65,580.08,2011-07-12,2011-09-15
12723.0,France,725.07,77.28,348.38,2011-10-05,2011-12-06
12724.0,France,1031.41,125.46,542.8100000000001,2011-01-11,2011-12-04
12725.0,Italy,427.8,427.8,427.8,2010-12-03,2010-12-03
12726.0,France,2609.1,170.28,784.46,2010-12-17,2011-11-11
12727.0,France,3980.7,514.5,919.66,2011-01-23,2011-11-29
12728.0,France,836.33,164.05,252.54,2011-01-11,2011-09-29
12729.0,France,453.01,453.01,453.01,2011-08-18,2011-08-18
12731.0,France,18895.91,252.0,3174.4300000000003,2010-12-10,2011-11-16
12732.0,France,236.26,236.26,236.26,2011-06-13,2011-06-13
12733.0,USA,383.95,383.95,383.95,2011-04-19,2011-04-19
12734.0,France,110.4,110.4,110.4,2010-12-22,2010-12-22
12735.0,France,779.5699999999999,319.77,459.8,2011-01-06,2011-01-28
12736.0,France,234.0,234.0,234.0,2011-01-11,2011-01-11
12738.0,Germany,155.35,155.35,155.35,2010-12-02,2010-12-02
12739.0,United Arab Emirates,1013.04,37.5,975.54,2011-09-01,2011-09-22
12740.0,France,427.6,427.6,427.6,2011-10-07,2011-10-07
12743.0,Unspecified,546.43,546.43,546.43,2011-07-28,2011-07-28
12744.0,Singapore,21279.29,999.26,6090.84,2011-01-25,2011-10-19
12747.0,United Kingdom,4196.01,301.70000000000005,675.38,2010-12-05,2011-12-07
12748.0,United Kingdom,33719.73,1.25,2151.5,2010-12-01,2011-12-09
12749.0,United Kingdom,4090.88,572.59,1896.13,2011-05-10,2011-12-06
12750.0,Poland,275.88,275.88,275.88,2011-08-03,2011-08-03
12752.0,Norway,4366.78,4366.78,4366.78,2011-09-19,2011-09-19
12753.0,Japan,21429.39,15.3,5735.24,2010-12-12,2011-11-17
12754.0,Japan,3010.74,16.05,2949.12,2011-02-04,2011-04-18
12755.0,Japan,3811.9500000000003,17.549999999999997,3794.4,2010-12-09,2011-03-04
12756.0,Japan,112.07999999999998,112.07999999999998,112.07999999999998,2011-09-14,2011-09-14
12757.0,Portugal,7857.1,49.5,3041.6800000000003,2011-05-12,2011-11-24
12758.0,Portugal,2791.59,1221.4,1570.19,2011-03-08,2011-08-15
12759.0,Netherlands,1531.44,444.8,637.72,2011-03-09,2011-10-18
12762.0,Portugal,1898.52,461.59,1436.93,2011-11-14,2011-12-02
12763.0,Japan,494.08,174.0,320.08,2010-12-05,2011-07-24
12764.0,Lebanon,1693.88,1693.88,1693.88,2011-01-27,2011-01-27
12766.0,Portugal,6989.63,686.48,1319.01,2010-12-08,2011-12-06
12769.0,Brazil,1143.6,1143.6,1143.6,2011-04-15,2011-04-15
12770.0,Japan,1351.45,1351.45,1351.45,2011-05-13,2011-05-13
12772.0,Portugal,892.47,892.47,892.47,2011-10-11,2011-10-11
12775.0,Netherlands,1386.04,214.45,419.8,2011-02-01,2011-11-22
12778.0,Netherlands,822.23,84.0,171.93,2011-01-31,2011-11-20
12779.0,Poland,3981.3599999999997,25.0,981.95,2010-12-03,2011-11-02
12781.0,Czech Republic,826.74,277.48,549.26,2011-02-28,2011-10-07
12782.0,Portugal,2330.92,252.25,683.9300000000001,2010-12-17,2011-12-05
12783.0,Portugal,2225.91,222.26,642.01,2011-09-25,2011-12-07
12784.0,Portugal,574.42,56.0,518.42,2011-11-24,2011-11-30
12785.0,Portugal,311.95,311.95,311.95,2010-12-10,2010-12-10
12787.0,Netherlands,463.65999999999997,119.0,186.56,2011-05-31,2011-11-30
12789.0,Netherlands,91.85,91.85,91.85,2011-10-05,2011-10-05
12790.0,Netherlands,324.92,324.92,324.92,2011-05-31,2011-05-31
12791.0,Netherlands,192.6,192.6,192.6,2010-12-01,2010-12-01
12792.0,Portugal,400.54,400.54,400.54,2011-03-28,2011-03-28
12793.0,Portugal,545.48,131.8,413.68,2010-12-03,2011-01-09
12794.0,Portugal,860.41,317.0,543.41,2011-09-02,2011-10-17
12795.0,Portugal,430.48,430.48,430.48,2011-11-21,2011-11-21
12797.0,Portugal,254.03,254.03,254.03,2010-12-09,2010-12-09
12798.0,Japan,6977.04,1607.04,3651.6,2011-06-22,2011-11-29
12802.0,Netherlands,427.58,427.58,427.58,2011-06-06,2011-06-06
12808.0,Portugal,483.65000000000003,129.4,202.3,2010-12-06,2011-11-03
12809.0,Portugal,489.31,489.31,489.31,2011-06-15,2011-06-15
12811.0,Portugal,514.85,27.0,247.6,2011-02-28,2011-03-24
12812.0,Japan,229.64,229.64,229.64,2011-10-26,2011-10-26
12814.0,Poland,125.92,125.92,125.92,2011-08-30,2011-08-30
12815.0,Poland,1063.46,448.1,615.36,2011-05-25,2011-07-15
12816.0,Poland,572.2,253.55,318.65000000000003,2011-06-16,2011-09-05
