index,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
35,,ALB,Albania,,Europe and Central Asia,,"(1000.0, 1000.0)",,
36,,ARM,Armenia,,Europe and Central Asia,,"(1000.0, 1000.0)",,
37,,AZE,Azerbaijan,,Europe and Central Asia,,"(1000.0, 1000.0)",,
38,"Bujumbura Mairie, Burundi",BDI,Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.164,"(-3.4146958, 29.3598782)",-3.4146958,29.3598782
39,"Nord, Burundi",BDI,Burundi,Nord,Sub-Saharan Africa,0.501,"(-3.373056, 29.918886)",-3.373056,29.918886
40,"Centre-Est, Burundi",BDI,Burundi,Centre-Est,Sub-Saharan Africa,0.473,"(9.0630743, 7.464915)",9.0630743,7.464915
41,"Ouest, Burundi",BDI,Burundi,Ouest,Sub-Saharan Africa,0.499,"(-3.373056, 29.918886)",-3.373056,29.918886
42,"Sud, Burundi",BDI,Burundi,Sud,Sub-Saharan Africa,0.422,"(14.6090537, 121.0222565)",14.6090537,121.0222565
43,"Alibori, Benin",BEN,Benin,Alibori,Sub-Saharan Africa,0.528,"(10.9681093, 2.7779813)",10.9681093,2.7779813
44,"Atacora, Benin",BEN,Benin,Atacora,Sub-Saharan Africa,0.454,"(10.7954931, 1.6760691)",10.7954931,1.6760691
45,"Atlantique, Benin",BEN,Benin,Atlantique,Sub-Saharan Africa,0.278,"(6.6588391, 2.2236667)",6.6588391,2.2236667
46,"Borgou, Benin",BEN,Benin,Borgou,Sub-Saharan Africa,0.351,"(9.5340864, 2.7779813)",9.5340864,2.7779813
47,"Collines, Benin",BEN,Benin,Collines,Sub-Saharan Africa,0.292,"(13.718252, -2.302446)",13.718252,-2.302446
48,"Couffo, Benin",BEN,Benin,Couffo,Sub-Saharan Africa,0.345,"(7.003589400000001, 1.7538817)",7.0035894,1.7538817
49,"Donga, Benin",BEN,Benin,Donga,Sub-Saharan Africa,0.335,"(9.7191867, 1.6760691)",9.7191867,1.6760691
50,"Littoral, Benin",BEN,Benin,Littoral,Sub-Saharan Africa,0.083,"(6.3806973, 2.4406387)",6.3806973,2.4406387
51,"Mono, Benin",BEN,Benin,Mono,Sub-Saharan Africa,0.259,"(6.6607182, 1.7538817)",6.6607182,1.7538817
52,"Ouðmð, Benin",BEN,Benin,Ouðmð,Sub-Saharan Africa,0.238,"(1000.0, 1000.0)",,
53,"Plateau, Benin",BEN,Benin,Plateau,Sub-Saharan Africa,0.347,"(7.3445141, 2.539603)",7.3445141,2.539603
54,"Zou, Benin",BEN,Benin,Zou,Sub-Saharan Africa,0.334,"(7.346926799999999, 2.0665197)",7.3469268,2.0665197
55,"Boucle de mouhoun, Burkina Faso",BFA,Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.591,"(8.8556838, 7.179025999999999)",8.8556838,7.179026
56,"Cascades, Burkina Faso",BFA,Burkina Faso,Cascades,Sub-Saharan Africa,0.493,"(10.4072992, -4.5624426)",10.4072992,-4.5624426
57,"Centre, Burkina Faso",BFA,Burkina Faso,Centre,Sub-Saharan Africa,0.207,"(12.3425897, -1.443469)",12.3425897,-1.443469
58,"Centre-est, Burkina Faso",BFA,Burkina Faso,Centre-est,Sub-Saharan Africa,0.58,"(11.5247674, -0.1494988)",11.5247674,-0.1494988
59,"Centre-nord, Burkina Faso",BFA,Burkina Faso,Centre-nord,Sub-Saharan Africa,0.575,"(13.1724464, -0.9056623)",13.1724464,-0.9056623
60,"Centre-ouest, Burkina Faso",BFA,Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.554,"(11.8798466, -2.302446)",11.8798466,-2.302446
61,"Centre-sud, Burkina Faso",BFA,Burkina Faso,Centre-sud,Sub-Saharan Africa,0.513,"(11.5228911, -1.0586135)",11.5228911,-1.0586135
62,"Est, Burkina Faso",BFA,Burkina Faso,Est,Sub-Saharan Africa,0.698,"(12.4365526, 0.9056623)",12.4365526,0.9056623
63,"Hauts basins, Burkina Faso",BFA,Burkina Faso,Hauts basins,Sub-Saharan Africa,0.459,"(11.4942003, -4.2333355)",11.4942003,-4.2333355
64,"Nord, Burkina Faso",BFA,Burkina Faso,Nord,Sub-Saharan Africa,0.581,"(1000.0, 1000.0)",,
65,"Plateau central, Burkina Faso",BFA,Burkina Faso,Plateau central,Sub-Saharan Africa,0.524,"(12.2537648, -0.7532808999999999)",12.2537648,-0.7532809
66,"Sahel, Burkina Faso",BFA,Burkina Faso,Sahel,Sub-Saharan Africa,0.69,"(14.1000865, -0.1494988)",14.1000865,-0.1494988
67,"Sud-ouest, Burkina Faso",BFA,Burkina Faso,Sud-ouest,Sub-Saharan Africa,0.655,"(10.4231493, -3.2583626)",10.4231493,-3.2583626
68,"Barisal, Bangladesh",BGD,Bangladesh,Barisal,South Asia,0.224,"(22.7029212, 90.3465971)",22.7029212,90.3465971
69,"Chittagong, Bangladesh",BGD,Bangladesh,Chittagong,South Asia,0.186,"(22.3475365, 91.8123324)",22.3475365,91.8123324
70,"Dhaka, Bangladesh",BGD,Bangladesh,Dhaka,South Asia,0.174,"(23.810332, 90.4125181)",23.810332,90.4125181
71,"Khulna, Bangladesh",BGD,Bangladesh,Khulna,South Asia,0.156,"(22.845641, 89.5403279)",22.845641,89.5403279
72,"Rajshahi, Bangladesh",BGD,Bangladesh,Rajshahi,South Asia,0.192,"(24.3635886, 88.62413509999999)",24.3635886,88.6241351
73,"Rangpur, Bangladesh",BGD,Bangladesh,Rangpur,South Asia,0.206,"(25.7438916, 89.275227)",25.7438916,89.275227
74,"Sylhet, Bangladesh",BGD,Bangladesh,Sylhet,South Asia,0.32,"(24.904539, 91.8611011)",24.904539,91.8611011
75,,BIH,Bosnia and Herzegovina,,Europe and Central Asia,,"(1000.0, 1000.0)",,
76,"Corozal, Belize",BLZ,Belize,Corozal,Latin America and Caribbean,0.026,"(18.4030802, -88.3967536)",18.4030802,-88.3967536
77,"Orange Walk, Belize",BLZ,Belize,Orange Walk,Latin America and Caribbean,0.019,"(18.0842472, -88.5710266)",18.0842472,-88.5710266
78,"Belize (excluding Belize City South Side), Belize",BLZ,Belize,Belize (excluding Belize City South Side),Latin America and Caribbean,0.005,"(30.7326622, 31.7195459)",30.7326622,31.7195459
79,"Stann Creek, Belize",BLZ,Belize,Stann Creek,Latin America and Caribbean,0.013,"(16.8116631, -88.4016041)",16.8116631,-88.4016041
80,"Toledo, Belize",BLZ,Belize,Toledo,Latin America and Caribbean,0.019,"(16.2491923, -88.86469799999999)",16.2491923,-88.864698
81,"Cayo, Belize",BLZ,Belize,Cayo,Latin America and Caribbean,0.054,"(17.0984445, -88.94138650000001)",17.0984445,-88.9413865
82,"Belize City South Side, Belize",BLZ,Belize,Belize City South Side,Latin America and Caribbean,0.005,"(17.4891317, -88.188656)",17.4891317,-88.188656
83,"Chuquisaca, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Chuquisaca,Latin America and Caribbean,0.145,"(-20.0249144, -64.1478236)",-20.0249144,-64.1478236
84,"La Paz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",La Paz,Latin America and Caribbean,0.077,"(-16.489689, -68.11929359999999)",-16.489689,-68.1192936
85,"Cochabamba, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Cochabamba,Latin America and Caribbean,0.105,"(-17.4139766, -66.1653224)",-17.4139766,-66.1653224
86,"Oruro, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Oruro,Latin America and Caribbean,0.073,"(26.9373041, 90.4879916)",26.9373041,90.4879916
87,"Potosð, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Potosð,Latin America and Caribbean,0.168,"(1000.0, 1000.0)",,
88,"Tarija, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Tarija,Latin America and Caribbean,0.081,"(-21.5213825, -64.7280952)",-21.5213825,-64.7280952
89,"Santa Cruz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Santa Cruz,Latin America and Caribbean,0.043,"(-17.8145819, -63.1560853)",-17.8145819,-63.1560853
90,"Beni, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Beni,Latin America and Caribbean,0.099,"(-14.3782747, -65.0957792)",-14.3782747,-65.0957792
91,"Pando, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Pando,Latin America and Caribbean,0.087,"(-10.7988901, -66.9988011)",-10.7988901,-66.9988011
92,"Acre, Brazil",BRA,Brazil,Acre,Latin America and Caribbean,0.072,"(-9.0237964, -70.81199529999999)",-9.0237964,-70.8119953
93,"Alagoas, Brazil",BRA,Brazil,Alagoas,Latin America and Caribbean,0.042,"(-9.5713058, -36.7819505)",-9.5713058,-36.7819505
94,"Amapð, Brazil",BRA,Brazil,Amapð,Latin America and Caribbean,0.022,"(1000.0, 1000.0)",,
95,"Amazonas, Brazil",BRA,Brazil,Amazonas,Latin America and Caribbean,0.044,"(-3.4168427, -65.8560646)",-3.4168427,-65.8560646
96,"Bahia, Brazil",BRA,Brazil,Bahia,Latin America and Caribbean,0.029,"(-12.579738, -41.7007272)",-12.579738,-41.7007272
97,"Cearð, Brazil",BRA,Brazil,Cearð,Latin America and Caribbean,0.029,"(-21.3223397, -46.36941789999999)",-21.3223397,-46.3694179
98,"Distrito Federal, Brazil",BRA,Brazil,Distrito Federal,Latin America and Caribbean,0.008,"(-15.7997654, -47.8644715)",-15.7997654,-47.8644715
99,"Espðrito Santo, Brazil",BRA,Brazil,Espðrito Santo,Latin America and Caribbean,0.018,"(1000.0, 1000.0)",,
100,"Goiðs, Brazil",BRA,Brazil,Goiðs,Latin America and Caribbean,0.017,"(1000.0, 1000.0)",,
101,"Maranhðo, Brazil",BRA,Brazil,Maranhðo,Latin America and Caribbean,0.046,"(-8.722408399999999, 125.5712576)",-8.7224084,125.5712576
102,"Mato Grosso, Brazil",BRA,Brazil,Mato Grosso,Latin America and Caribbean,0.019,"(-12.6818712, -56.921099)",-12.6818712,-56.921099
103,"Mato Grosso do Sul, Brazil",BRA,Brazil,Mato Grosso do Sul,Latin America and Caribbean,0.019,"(-20.7722295, -54.7851531)",-20.7722295,-54.7851531
104,"Minas Gerais, Brazil",BRA,Brazil,Minas Gerais,Latin America and Caribbean,0.021,"(-18.512178, -44.5550308)",-18.512178,-44.5550308
105,"Paranð, Brazil",BRA,Brazil,Paranð,Latin America and Caribbean,0.016,"(1000.0, 1000.0)",,
106,"Paraðba, Brazil",BRA,Brazil,Paraðba,Latin America and Caribbean,0.032,"(1000.0, 1000.0)",,
107,"Parð, Brazil",BRA,Brazil,Parð,Latin America and Caribbean,0.035,"(1000.0, 1000.0)",,
108,"Pernambuco, Brazil",BRA,Brazil,Pernambuco,Latin America and Caribbean,0.027,"(-8.8137173, -36.954107)",-8.8137173,-36.954107
109,"Piauð, Brazil",BRA,Brazil,Piauð,Latin America and Caribbean,0.039,"(1000.0, 1000.0)",,
110,"Rio Grande do Norte, Brazil",BRA,Brazil,Rio Grande do Norte,Latin America and Caribbean,0.03,"(-5.402580299999999, -36.954107)",-5.4025803,-36.954107
111,"Rio Grande do Sul, Brazil",BRA,Brazil,Rio Grande do Sul,Latin America and Caribbean,0.012,"(-30.0346316, -51.2176986)",-30.0346316,-51.2176986
112,"Rio de Janeiro, Brazil",BRA,Brazil,Rio de Janeiro,Latin America and Caribbean,0.011,"(-22.9068467, -43.1728965)",-22.9068467,-43.1728965
113,"Rondðnia, Brazil",BRA,Brazil,Rondðnia,Latin America and Caribbean,0.024,"(-17.8251657, 31.03351)",-17.8251657,31.03351
114,"Roraima, Brazil",BRA,Brazil,Roraima,Latin America and Caribbean,0.029,"(2.7375971, -62.0750998)",2.7375971,-62.0750998
115,"Santa Catarina, Brazil",BRA,Brazil,Santa Catarina,Latin America and Caribbean,0.019,"(-27.2423392, -50.2188556)",-27.2423392,-50.2188556
116,"Sergipe, Brazil",BRA,Brazil,Sergipe,Latin America and Caribbean,0.034,"(-10.5740934, -37.3856581)",-10.5740934,-37.3856581
117,"Sðo Paulo, Brazil",BRA,Brazil,Sðo Paulo,Latin America and Caribbean,0.012,"(-23.5671844, -46.7387185)",-23.5671844,-46.7387185
118,"Tocantins, Brazil",BRA,Brazil,Tocantins,Latin America and Caribbean,0.03,"(-10.17528, -48.2982474)",-10.17528,-48.2982474
119,,BRB,Barbados,,Latin America and Caribbean,,"(1000.0, 1000.0)",,
120,"Bumthang, Bhutan",BTN,Bhutan,Bumthang,South Asia,0.042,"(27.641839, 90.6773046)",27.641839,90.6773046
121,"Chukha, Bhutan",BTN,Bhutan,Chukha,South Asia,0.121,"(27.0784304, 89.4742177)",27.0784304,89.4742177
122,"Dagana, Bhutan",BTN,Bhutan,Dagana,South Asia,0.222,"(27.0322861, 89.8879304)",27.0322861,89.8879304
123,"Haa, Bhutan",BTN,Bhutan,Haa,South Asia,0.059,"(27.2651669, 89.1705998)",27.2651669,89.1705998
124,"Lhuntse, Bhutan",BTN,Bhutan,Lhuntse,South Asia,0.151,"(27.8264989, 91.13530200000001)",27.8264989,91.135302
125,"Mongar, Bhutan",BTN,Bhutan,Mongar,South Asia,0.165,"(27.2617059, 91.28910359999999)",27.2617059,91.2891036
126,"Paro, Bhutan",BTN,Bhutan,Paro,South Asia,0.026,"(27.428684, 89.41636539999999)",27.428684,89.4163654
127,"Pemagatshel, Bhutan",BTN,Bhutan,Pemagatshel,South Asia,0.128,"(27.98785, 86.9250261)",27.98785,86.9250261
128,"Punakha, Bhutan",BTN,Bhutan,Punakha,South Asia,0.088,"(27.5920869, 89.87974589999999)",27.5920869,89.8797459
129,"Samdrup Jongkhar, Bhutan",BTN,Bhutan,Samdrup Jongkhar,South Asia,0.149,"(26.8035682, 91.5039207)",26.8035682,91.5039207
130,"Samtse, Bhutan",BTN,Bhutan,Samtse,South Asia,0.197,"(27.0291832, 89.0561532)",27.0291832,89.0561532
131,"Sarpang, Bhutan",BTN,Bhutan,Sarpang,South Asia,0.102,"(-2.5546618, 29.6035495)",-2.5546618,29.6035495
132,"Thimphu, Bhutan",BTN,Bhutan,Thimphu,South Asia,0.016,"(27.4727924, 89.6392863)",27.4727924,89.6392863
133,"Trashigang, Bhutan",BTN,Bhutan,Trashigang,South Asia,0.132,"(27.3325014, 91.55234349999999)",27.3325014,91.5523435
134,"Trashiyangtse, Bhutan",BTN,Bhutan,Trashiyangtse,South Asia,0.121,"(-20.3446313, 44.7006138)",-20.3446313,44.7006138
135,"Trongsa, Bhutan",BTN,Bhutan,Trongsa,South Asia,0.148,"(27.5002269, 90.5080634)",27.5002269,90.5080634
136,"Tsirang, Bhutan",BTN,Bhutan,Tsirang,South Asia,0.196,"(27.032207, 90.1869644)",27.032207,90.1869644
137,"Wangdi, Bhutan",BTN,Bhutan,Wangdi,South Asia,0.099,"(27.4879018, 89.8996196)",27.4879018,89.8996196
138,"Zhemgang, Bhutan",BTN,Bhutan,Zhemgang,South Asia,0.184,"(27.076975, 90.8294002)",27.076975,90.8294002
139,"Ombella-M'poko, Central African Republic",CAF,Central African Republic,Ombella-M'poko,Sub-Saharan Africa,0.403,"(5.1188825, 18.4276047)",5.1188825,18.4276047
140,"Lobaye, Central African Republic",CAF,Central African Republic,Lobaye,Sub-Saharan Africa,0.494,"(4.3525981, 17.4795173)",4.3525981,17.4795173
141,"Mambðrð-Kadði, Central African Republic",CAF,Central African Republic,Mambðrð-Kadði,Sub-Saharan Africa,0.497,"(8.154077, 123.258793)",8.154077,123.258793
142,"Nana-Mambðrð, Central African Republic",CAF,Central African Republic,Nana-Mambðrð,Sub-Saharan Africa,0.52,"(1000.0, 1000.0)",,
143,"Sangha-Mbaðrð, Central African Republic",CAF,Central African Republic,Sangha-Mbaðrð,Sub-Saharan Africa,0.505,"(15.341806, -84.6060449)",15.341806,-84.6060449
144,"Ouham-Pendð, Central African Republic",CAF,Central African Republic,Ouham-Pendð,Sub-Saharan Africa,0.479,"(1000.0, 1000.0)",,
145,"Ouham, Central African Republic",CAF,Central African Republic,Ouham,Sub-Saharan Africa,0.533,"(7.090910999999999, 17.668887)",7.090911,17.668887
146,"Kðmo, Central African Republic",CAF,Central African Republic,Kðmo,Sub-Saharan Africa,0.501,"(1000.0, 1000.0)",,
147,"Nana-Grðbizi, Central African Republic",CAF,Central African Republic,Nana-Grðbizi,Sub-Saharan Africa,0.419,"(1000.0, 1000.0)",,
148,"Ouaka, Central African Republic",CAF,Central African Republic,Ouaka,Sub-Saharan Africa,0.471,"(6.3168216, 20.7122465)",6.3168216,20.7122465
149,"Haute-Kotto, Central African Republic",CAF,Central African Republic,Haute-Kotto,Sub-Saharan Africa,0.42,"(7.7964379, 23.3823545)",7.7964379,23.3823545
150,"Bamingui-Bangoran, Central African Republic",CAF,Central African Republic,Bamingui-Bangoran,Sub-Saharan Africa,0.364,"(8.2733455, 20.7122465)",8.2733455,20.7122465
151,"Basse-Kotto, Central African Republic",CAF,Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.544,"(4.8719319, 21.2845025)",4.8719319,21.2845025
152,"Mbomou, Central African Republic",CAF,Central African Republic,Mbomou,Sub-Saharan Africa,0.491,"(5.356142699999999, -3.9666402)",5.3561427,-3.9666402
153,"Haut-Mbomou, Central African Republic",CAF,Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.418,"(6.2537134, 25.4733554)",6.2537134,25.4733554
154,"Bangui, Central African Republic",CAF,Central African Republic,Bangui,Sub-Saharan Africa,0.197,"(4.3946735, 18.5581899)",4.3946735,18.5581899
155,"East, China",CHN,China,East,East Asia and the Pacific,0.008,"(42.4708101, -92.35780319999999)",42.4708101,-92.3578032
156,"Central, China",CHN,China,Central,East Asia and the Pacific,0.013,"(29.70534, -95.5483893)",29.70534,-95.5483893
157,"West, China",CHN,China,West,East Asia and the Pacific,0.034,"(35.86166, 104.195397)",35.86166,104.195397
158,"Centre, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre,Sub-Saharan Africa,0.359,"(-8.6529334, 117.3616476)",-8.6529334,117.3616476
159,"Centre-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.297,"(1000.0, 1000.0)",,
160,"Centre-Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.322,"(13.4540922, -16.6733441)",13.4540922,-16.6733441
161,"Centre-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.334,"(1000.0, 1000.0)",,
162,"Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord,Sub-Saharan Africa,0.477,"(5.361844, -4.0231596)",5.361844,-4.0231596
163,"Nord-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.374,"(5.308612999999999, -3.9468284)",5.308613,-3.9468284
164,"Nord-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.518,"(7.702782699999999, -5.036833)",7.7027827,-5.036833
165,"Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.38,"(7.539988999999999, -5.547079999999999)",7.539989,-5.54708
166,"Sud sans Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.264,"(1000.0, 1000.0)",,
167,"Sud-ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.394,"(4.7459773, -6.6143386)",4.7459773,-6.6143386
168,"Ville d'Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.109,"(5.3428333, -4.0264183)",5.3428333,-4.0264183
169,"Adamaoua, Cameroon",CMR,Cameroon,Adamaoua,Sub-Saharan Africa,0.269,"(6.9181954, 12.8054753)",6.9181954,12.8054753
170,"Centre (sans Yaoundð), Cameroon",CMR,Cameroon,Centre (sans Yaoundð),Sub-Saharan Africa,0.179,"(1000.0, 1000.0)",,
171,"Douala, Cameroon",CMR,Cameroon,Douala,Sub-Saharan Africa,0.024,"(4.0510564, 9.7678687)",4.0510564,9.7678687
172,"Est, Cameroon",CMR,Cameroon,Est,Sub-Saharan Africa,0.274,"(3.950512799999999, 13.914399)",3.9505128,13.914399
173,"Extrðme-Nord, Cameroon",CMR,Cameroon,Extrðme-Nord,Sub-Saharan Africa,0.54,"(1000.0, 1000.0)",,
174,"Littoral (sans Douala), Cameroon",CMR,Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.091,"(4.0134386, 9.717007299999999)",4.0134386,9.7170073
175,"Nord, Cameroon",CMR,Cameroon,Nord,Sub-Saharan Africa,0.458,"(8.580901299999999, 13.914399)",8.5809013,13.914399
176,"Nord-Ouest, Cameroon",CMR,Cameroon,Nord-Ouest,Sub-Saharan Africa,0.167,"(6.470373899999999, 10.439656)",6.4703739,10.439656
177,"Ouest, Cameroon",CMR,Cameroon,Ouest,Sub-Saharan Africa,0.146,"(5.4638158, 10.8000051)",5.4638158,10.8000051
178,"Sud, Cameroon",CMR,Cameroon,Sud,Sub-Saharan Africa,0.131,"(2.7202832, 11.7068294)",2.7202832,11.7068294
179,"Sud-Ouest, Cameroon",CMR,Cameroon,Sud-Ouest,Sub-Saharan Africa,0.129,"(5.1573493, 9.367308399999999)",5.1573493,9.3673084
180,"Yaoundð, Cameroon",CMR,Cameroon,Yaoundð,Sub-Saharan Africa,0.026,"(1000.0, 1000.0)",,
181,"Kinshasa, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.102,"(-4.4419311, 15.2662931)",-4.4419311,15.2662931
182,"Bandundu, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.435,"(-4.163679, 18.8076195)",-4.163679,18.8076195
183,"Bas-Congo, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.393,"(-5.2365685, 13.914399)",-5.2365685,13.914399
184,"ðquateur, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",ðquateur,Sub-Saharan Africa,0.48,"(1000.0, 1000.0)",,
185,"Kasað-Occidental, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kasað-Occidental,Sub-Saharan Africa,0.49,"(1000.0, 1000.0)",,
186,"Kasað-Oriental, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kasað-Oriental,Sub-Saharan Africa,0.431,"(1000.0, 1000.0)",,
187,"Katanga, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Katanga,Sub-Saharan Africa,0.4,"(-8.8851145, 26.419389)",-8.8851145,26.419389
188,"Maniema, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Maniema,Sub-Saharan Africa,0.409,"(-3.0730929, 26.0413889)",-3.0730929,26.0413889
