,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
3122,C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02 14:29,2.95,17547.0,United Kingdom
3631,C536807,22501,PICNIC BASKET WICKER LARGE,-2,2010-12-02 16:45,9.95,15834.0,United Kingdom
3632,C536807,22778,GLASS CLOCHE SMALL,-1,2010-12-02 16:45,3.95,15834.0,United Kingdom
3648,C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2010-12-02 16:58,0.85,16546.0,United Kingdom
3649,C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,2010-12-02 16:58,0.72,16546.0,United Kingdom
3650,C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58,0.72,16546.0,United Kingdom
3651,C536812,22595,CHRISTMAS GINGHAM HEART,-144,2010-12-02 16:58,0.72,16546.0,United Kingdom
3652,C536812,22588,CARD HOLDER GINGHAM HEART,-192,2010-12-02 16:58,2.1,16546.0,United Kingdom
3653,C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,2010-12-02 16:58,0.72,16546.0,United Kingdom
3671,C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-02 17:03,7.95,13958.0,United Kingdom
3672,C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2010-12-02 17:03,2.95,13958.0,United Kingdom
3673,C536814,85066,CREAM SWEETHEART MINI CHEST,-2,2010-12-02 17:03,12.75,13958.0,United Kingdom
3674,C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2010-12-02 17:03,2.55,13958.0,United Kingdom
3675,C536814,21258,VICTORIAN SEWING BOX LARGE,-1,2010-12-02 17:03,12.75,13958.0,United Kingdom
3676,C536815,85175,CACTI T-LIGHT CANDLES,-1,2010-12-02 17:05,0.42,14443.0,United Kingdom
3677,C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,2010-12-02 17:05,1.25,14443.0,United Kingdom
3678,C536816,21129,SILVER FISHING GNOME ,-2,2010-12-02 17:06,6.95,14443.0,United Kingdom
3679,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02 17:08,4.25,14156.0,EIRE
3680,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:08,3.25,14156.0,EIRE
3681,C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2010-12-02 17:09,1.25,16995.0,United Kingdom
3699,C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2010-12-02 17:14,1.95,18168.0,United Kingdom
3700,C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,2010-12-02 17:14,1.95,18168.0,United Kingdom
3701,C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2010-12-02 17:14,2.1,18168.0,United Kingdom
3702,C536820,21843,RED RETROSPOT CAKE STAND,-1,2010-12-02 17:14,10.95,18168.0,United Kingdom
3726,C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2010-12-02 17:19,16.95,14625.0,United Kingdom
3727,C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-12-02 17:19,3.75,14625.0,United Kingdom
3732,C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-12-02 17:27,4.95,15384.0,United Kingdom
3733,C536825,22197,SMALL POPCORN HOLDER,-2,2010-12-02 17:27,0.85,15384.0,United Kingdom
3734,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-12-02 17:30,4.65,17924.0,United Kingdom
3735,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-12-02 17:30,4.65,17924.0,United Kingdom
3736,C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2010-12-02 17:31,6.95,13408.0,United Kingdom
3737,C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-12-02 17:35,10.75,14264.0,United Kingdom
3738,C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2010-12-02 17:35,1.25,14264.0,United Kingdom
3739,C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:36,3.25,13295.0,United Kingdom
4027,C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03 9:47,7.65,14213.0,United Kingdom
4028,C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03 9:47,6.75,14213.0,United Kingdom
4029,C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03 9:47,2.55,14213.0,United Kingdom
4030,C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03 9:47,4.95,14213.0,United Kingdom
4031,C536850,22186,RED STAR CARD HOLDER,-48,2010-12-03 9:47,2.55,14213.0,United Kingdom
4054,C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-12-03 10:07,2.55,14679.0,United Kingdom
4055,C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-12-03 10:09,2.95,15240.0,United Kingdom
4056,C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-12-03 10:09,1.25,15240.0,United Kingdom
4057,C536854,21871,SAVE THE PLANET MUG,-1,2010-12-03 10:09,1.25,15240.0,United Kingdom
4058,C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2010-12-03 10:11,7.95,18225.0,United Kingdom
4690,C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-03 14:19,9.95,17954.0,United Kingdom
4691,C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03 14:23,3.75,17841.0,United Kingdom
4692,C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03 14:23,1.95,17841.0,United Kingdom
4992,C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-12-03 16:21,2.1,13941.0,United Kingdom
5147,C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-12-05 10:25,4.95,15708.0,United Kingdom
5148,C537039,20936,FORKED CACTUS CANDLE,-1,2010-12-05 10:25,2.95,15708.0,United Kingdom
5149,C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-12-05 10:25,0.42,15708.0,United Kingdom
5230,C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-12-05 10:48,1.95,15351.0,United Kingdom
5231,C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-12-05 10:48,1.69,15351.0,United Kingdom
6026,C537132,22788,BROCANTE COAT RACK,-2,2010-12-05 12:29,8.5,15221.0,United Kingdom
6027,C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-12-05 12:29,8.5,15221.0,United Kingdom
6028,C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-12-05 12:29,2.95,15221.0,United Kingdom
6029,C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-12-05 12:29,21.95,15221.0,United Kingdom
6030,C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-12-05 12:29,21.95,15221.0,United Kingdom
6031,C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-12-05 12:29,12.75,15221.0,United Kingdom
6395,C537143,20685,DOORMAT RED RETROSPOT,-1,2010-12-05 12:58,7.95,12748.0,United Kingdom
6662,C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-12-05 13:09,1.25,15880.0,United Kingdom
6748,C537164,D,Discount,-1,2010-12-05 13:21,29.29,14527.0,United Kingdom
7203,C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-05 14:44,9.95,14606.0,United Kingdom
7204,C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2010-12-05 14:44,2.95,14606.0,United Kingdom
7902,C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-12-06 9:31,8.5,12586.0,Italy
7912,C537234,22653,BUTTON BOX ,-20,2010-12-06 9:40,1.95,16161.0,United Kingdom
8297,C537314,21349,IVY HEART WREATH,-4,2010-12-06 11:42,6.75,13497.0,United Kingdom
8298,C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,2010-12-06 11:47,8.95,14867.0,United Kingdom
8311,C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2010-12-06 12:00,8.5,12474.0,Germany
8897,C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-06 12:55,12.75,14487.0,United Kingdom
8950,C537379,22865,HAND WARMER OWL DESIGN,-10,2010-12-06 13:12,2.1,15882.0,United Kingdom
9033,C537383,21658,GLASS  BEURRE DISH,-1,2010-12-06 13:17,3.95,16550.0,United Kingdom
9034,C537383,22197,SMALL POPCORN HOLDER,-1,2010-12-06 13:17,0.85,16550.0,United Kingdom
9035,C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2010-12-06 13:17,4.25,16550.0,United Kingdom
9318,C537398,22430,ENAMEL WATERING CAN CREAM,-1,2010-12-06 14:22,4.95,15426.0,United Kingdom
9440,C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43,5.95,15502.0,United Kingdom
9441,C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43,5.95,15502.0,United Kingdom
9442,C537402,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:43,14.95,15502.0,United Kingdom
9443,C537402,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:43,14.95,15502.0,United Kingdom
9444,C537402,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:43,2.55,15502.0,United Kingdom
9445,C537402,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:43,0.85,15502.0,United Kingdom
9503,C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53,5.95,15502.0,United Kingdom
9504,C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53,5.95,15502.0,United Kingdom
9505,C537406,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:53,14.95,15502.0,United Kingdom
9506,C537406,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:53,14.95,15502.0,United Kingdom
9513,C537408,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:55,2.55,15502.0,United Kingdom
9514,C537408,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:55,0.85,15502.0,United Kingdom
9533,C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2010-12-06 15:07,2.1,14409.0,United Kingdom
9543,C537414,POST,POSTAGE,-1,2010-12-06 15:09,4.41,16861.0,United Kingdom
9544,C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,2010-12-06 15:09,2.95,16861.0,United Kingdom
9545,C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,2010-12-06 15:10,7.95,16138.0,United Kingdom
9546,C537417,22960,JAM MAKING SET WITH JARS,-1,2010-12-06 15:12,4.25,13481.0,United Kingdom
9751,C537431,21755,LOVE BUILDING BLOCK WORD,-1,2010-12-06 16:10,5.95,16782.0,United Kingdom
9827,C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,2010-12-07 8:42,5.95,14850.0,United Kingdom
9828,C537445,22418,10 COLOUR SPACEBOY PEN,-11,2010-12-07 8:57,0.85,15021.0,United Kingdom
10129,C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-07 11:47,7.95,13319.0,United Kingdom
10130,C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2010-12-07 11:47,6.35,13319.0,United Kingdom
10131,C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,2010-12-07 11:47,3.75,13319.0,United Kingdom
10233,C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,2010-12-07 12:31,9.95,17954.0,United Kingdom
10234,C537597,D,Discount,-1,2010-12-07 12:34,281.0,15498.0,United Kingdom
10259,C537602,85099B,JUMBO BAG RED RETROSPOT,-1,2010-12-07 12:45,1.65,17511.0,United Kingdom
10260,C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,2010-12-07 12:45,4.95,17511.0,United Kingdom
10261,C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,2010-12-07 12:45,1.25,17511.0,United Kingdom
10262,C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2010-12-07 12:45,8.5,17511.0,United Kingdom
10263,C537602,22654,DELUXE SEWING KIT ,-1,2010-12-07 12:45,4.95,17511.0,United Kingdom
10264,C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-07 12:45,2.55,17511.0,United Kingdom
10265,C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,2010-12-07 12:45,2.95,17511.0,United Kingdom
10266,C537602,22197,SMALL POPCORN HOLDER,-1,2010-12-07 12:45,0.72,17511.0,United Kingdom
10267,C537602,22659,LUNCH BOX I LOVE LONDON,-4,2010-12-07 12:45,1.65,17511.0,United Kingdom
10268,C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,2010-12-07 12:45,7.65,17511.0,United Kingdom
10269,C537602,21843,RED RETROSPOT CAKE STAND,-1,2010-12-07 12:45,9.95,17511.0,United Kingdom
10270,C537602,22423,REGENCY CAKESTAND 3 TIER,-2,2010-12-07 12:45,10.95,17511.0,United Kingdom
10271,C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,2010-12-07 12:45,1.25,17511.0,United Kingdom
10272,C537602,22198,LARGE POPCORN HOLDER ,-1,2010-12-07 12:45,1.45,17511.0,United Kingdom
10451,C537611,22865,HAND WARMER OWL DESIGN,-36,2010-12-07 13:25,2.1,17675.0,United Kingdom
10935,C537656,21258,VICTORIAN SEWING BOX LARGE,-12,2010-12-07 16:21,10.95,15100.0,United Kingdom
11049,C537677,21166,COOK WITH WINE METAL SIGN ,-1,2010-12-08 9:55,1.95,14796.0,United Kingdom
11103,C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,2010-12-08 10:18,2.55,14901.0,United Kingdom
11104,C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,2010-12-08 10:18,3.75,14901.0,United Kingdom
11320,C537746,22156,HEART DECORATION WITH PEARLS ,-1,2010-12-08 11:03,0.85,15021.0,United Kingdom
11321,C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,2010-12-08 11:03,2.55,15021.0,United Kingdom
11322,C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-08 11:03,3.25,15021.0,United Kingdom
11356,C537756,21914,BLUE HARMONICA IN BOX ,-24,2010-12-08 11:33,1.25,14952.0,United Kingdom
11357,C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,2010-12-08 11:33,1.65,14952.0,United Kingdom
11358,C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,2010-12-08 11:33,14.95,14952.0,United Kingdom
11421,C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,2010-12-08 12:03,7.95,16713.0,United Kingdom
11954,C537788,90062,CARNIVAL BRACELET,-1,2010-12-08 12:49,12.75,15916.0,United Kingdom
11955,C537788,16202E,BLACK PHOTO ALBUM ,-1,2010-12-08 12:49,5.55,15916.0,United Kingdom
12100,C537797,22501,PICNIC BASKET WICKER LARGE,-1,2010-12-08 13:07,8.5,13113.0,United Kingdom
12101,C537797,22423,REGENCY CAKESTAND 3 TIER,-2,2010-12-08 13:07,10.95,13113.0,United Kingdom
12102,C537797,22469,HEART OF WICKER SMALL,-1,2010-12-08 13:07,1.45,13113.0,United Kingdom
12103,C537798,22357,KINGS CHOICE BISCUIT TIN,-1,2010-12-08 13:07,4.25,16553.0,United Kingdom
12164,C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-08 13:18,4.65,15311.0,United Kingdom
12165,C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,2010-12-08 13:18,0.64,15311.0,United Kingdom
12166,C537805,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,2010-12-08 13:18,5.55,15311.0,United Kingdom
12167,C537805,22719,GUMBALL MONOCHROME COAT RACK,-3,2010-12-08 13:18,1.06,15311.0,United Kingdom
12168,C537805,20798,CLEAR MILKSHAKE GLASS,-4,2010-12-08 13:18,1.65,15311.0,United Kingdom
12169,C537805,22198,LARGE POPCORN HOLDER ,-1,2010-12-08 13:18,1.45,15311.0,United Kingdom
12170,C537805,22197,SMALL POPCORN HOLDER,-1,2010-12-08 13:18,0.72,15311.0,United Kingdom
12171,C537805,20829,GLITTER HANGING BUTTERFLY STRING,-1,2010-12-08 13:18,2.1,15311.0,United Kingdom
12172,C537805,22571,ROCKING HORSE RED CHRISTMAS ,-1,2010-12-08 13:18,0.85,15311.0,United Kingdom
12200,C537807,84949,SILVER HANGING T-LIGHT HOLDER,-5,2010-12-08 13:23,1.65,13495.0,United Kingdom
12201,C537807,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,2010-12-08 13:23,4.95,13495.0,United Kingdom
12202,C537807,21143,ANTIQUE GLASS HEART DECORATION ,-1,2010-12-08 13:23,1.95,13495.0,United Kingdom
12203,C537807,21812,GARLAND WITH HEARTS AND BELLS,-6,2010-12-08 13:23,4.95,13495.0,United Kingdom
12214,C537812,21843,RED RETROSPOT CAKE STAND,-10,2010-12-08 13:33,9.95,14299.0,United Kingdom
12215,C537812,22423,REGENCY CAKESTAND 3 TIER,-10,2010-12-08 13:33,10.95,14299.0,United Kingdom
12223,C537814,20703,BLUE PADDED SOFT MOBILE,-3,2010-12-08 13:43,4.25,12712.0,Germany
12319,C537820,22627,MINT KITCHEN SCALES,-1,2010-12-08 14:10,8.5,16016.0,United Kingdom
12320,C537821,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-3,2010-12-08 14:20,6.95,18193.0,United Kingdom
12351,C537824,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,2010-12-08 14:27,9.95,12870.0,United Kingdom
12352,C537824,22784,LANTERN CREAM GAZEBO ,-1,2010-12-08 14:27,4.95,12870.0,United Kingdom
12478,C537832,22073,RED RETROSPOT STORAGE JAR,-2,2010-12-08 14:52,3.75,16858.0,United Kingdom
12479,C537832,21531,RED RETROSPOT SUGAR JAM BOWL,-4,2010-12-08 14:52,2.1,16858.0,United Kingdom
12480,C537832,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2010-12-08 14:52,6.95,16858.0,United Kingdom
12482,C537834,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-12-08 14:54,2.95,13267.0,United Kingdom
12483,C537834,21314,SMALL GLASS HEART TRINKET POT,-1,2010-12-08 14:54,2.1,13267.0,United Kingdom
12484,C537834,22798,ANTIQUE GLASS DRESSING TABLE POT,-3,2010-12-08 14:54,2.95,13267.0,United Kingdom
12485,C537835,22138,BAKING SET 9 PIECE RETROSPOT ,-3,2010-12-08 14:57,4.95,14618.0,United Kingdom
12501,C537838,22299,PIG KEYRING WITH LIGHT & SOUND ,-4,2010-12-08 15:01,1.25,13115.0,United Kingdom
12716,C537853,79000,MOROCCAN TEA GLASS,-1,2010-12-08 15:57,0.85,13370.0,United Kingdom
12717,C537853,22940,FELTCRAFT CHRISTMAS FAIRY,-1,2010-12-08 15:57,4.25,13370.0,United Kingdom
12718,C537853,22169,FAMILY ALBUM WHITE PICTURE FRAME,-2,2010-12-08 15:57,8.5,13370.0,United Kingdom
12719,C537853,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2010-12-08 15:57,2.95,13370.0,United Kingdom
12720,C537853,22960,JAM MAKING SET WITH JARS,-2,2010-12-08 15:57,4.25,13370.0,United Kingdom
12758,C537856,37370,RETRO COFFEE MUGS ASSORTED,-2,2010-12-08 15:59,1.25,14388.0,United Kingdom
12759,C537856,21843,RED RETROSPOT CAKE STAND,-1,2010-12-08 15:59,10.95,14388.0,United Kingdom
12760,C537857,D,Discount,-1,2010-12-08 16:00,267.12,17340.0,United Kingdom
12787,C537860,84406B,CREAM CUPID HEARTS COAT HANGER,-8,2010-12-08 16:15,3.25,16252.0,United Kingdom
12788,C537860,22295,HEART FILIGREE DOVE LARGE,-12,2010-12-08 16:15,1.65,16252.0,United Kingdom
12789,C537860,22193,RED DINER WALL CLOCK,-2,2010-12-08 16:15,8.5,16252.0,United Kingdom
12790,C537860,22180,RETROSPOT LAMP,-1,2010-12-08 16:15,9.95,16252.0,United Kingdom
12791,C537860,21624,VINTAGE UNION JACK DOORSTOP,-3,2010-12-08 16:15,5.95,16252.0,United Kingdom
12792,C537860,21485,RETROSPOT HEART HOT WATER BOTTLE,-3,2010-12-08 16:15,4.95,16252.0,United Kingdom
12793,C537860,20897,VINTAGE NOTEBOOK PARIS DAYS,-6,2010-12-08 16:15,2.95,16252.0,United Kingdom
12794,C537860,37370,RETRO COFFEE MUGS ASSORTED,-12,2010-12-08 16:15,1.25,16252.0,United Kingdom
12795,C537860,22049,WRAP CHRISTMAS SCREEN PRINT,-25,2010-12-08 16:15,0.42,16252.0,United Kingdom
12796,C537860,21888,BINGO SET,-4,2010-12-08 16:15,3.75,16252.0,United Kingdom
12797,C537860,21240,BLUE POLKADOT CUP,-8,2010-12-08 16:15,0.85,16252.0,United Kingdom
12798,C537860,21066,VINTAGE RED MUG,-12,2010-12-08 16:15,1.25,16252.0,United Kingdom
12799,C537860,20675,BLUE POLKADOT BOWL,-8,2010-12-08 16:15,1.25,16252.0,United Kingdom
12800,C537860,22192,BLUE DINER WALL CLOCK,-2,2010-12-08 16:15,8.5,16252.0,United Kingdom
12801,C537860,21244,BLUE POLKADOT PLATE ,-8,2010-12-08 16:15,1.69,16252.0,United Kingdom
12802,C537860,21242,RED RETROSPOT PLATE ,-8,2010-12-08 16:15,1.69,16252.0,United Kingdom
12803,C537860,20676,RED RETROSPOT BOWL,-8,2010-12-08 16:15,1.25,16252.0,United Kingdom
12804,C537860,79066K,RETRO MOD TRAY,-10,2010-12-08 16:15,0.85,16252.0,United Kingdom
12805,C537860,22637,PIGGY BANK RETROSPOT ,-6,2010-12-08 16:15,2.55,16252.0,United Kingdom
12806,C537860,22508,DOORSTOP RETROSPOT HEART,-4,2010-12-08 16:15,3.75,16252.0,United Kingdom
12807,C537860,21238,RED RETROSPOT CUP,-8,2010-12-08 16:15,0.85,16252.0,United Kingdom
13151,C537893,22450,SILK PURSE BABUSHKA BLUE,-1,2010-12-09 10:14,3.35,12721.0,France
13152,C537893,22634,CHILDS BREAKFAST SET SPACEBOY ,-2,2010-12-09 10:14,9.95,12721.0,France
13153,C537893,22630,DOLLY GIRL LUNCH BOX,-2,2010-12-09 10:14,1.95,12721.0,France
13343,C537998,22727,ALARM CLOCK BAKELIKE RED ,-4,2010-12-09 11:42,3.75,17411.0,United Kingdom
13344,C537998,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-4,2010-12-09 11:42,3.75,17411.0,United Kingdom
13772,C538052,22138,BAKING SET 9 PIECE RETROSPOT ,-1,2010-12-09 13:28,4.95,15181.0,United Kingdom
13838,C538059,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,-12,2010-12-09 13:38,1.25,14205.0,United Kingdom
13839,C538059,21535,RED RETROSPOT SMALL MILK JUG,-6,2010-12-09 13:38,2.55,14205.0,United Kingdom
13840,C538059,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-6,2010-12-09 13:38,2.95,14205.0,United Kingdom
